x,y,S34,Ca43,Fe56,Zn66,W182
0.015,0.015,24591.82,0.00,2750.28,5571.14,20.00
0.03,0.015,24872.32,537.51,850.03,720.02,0.00
0.045,0.015,25192.90,50.00,1010.04,2220.18,0.00
0.06,0.015,25052.65,87.50,890.03,380.01,10.00
0.075,0.015,24822.23,87.50,900.03,250.00,10.00
0.09,0.015,24010.80,75.00,330.00,360.00,20.00
0.105,0.015,25132.79,362.50,1500.08,170.00,0.00
0.12,0.015,25463.39,0.00,610.01,600.01,0.00
0.135,0.015,25303.10,12.50,1560.09,430.01,0.00
0.15000000000000002,0.015,23850.53,112.50,910.03,460.01,10.00
0.16500000000000004,0.015,24221.17,75.00,420.01,550.01,30.00
0.18000000000000005,0.015,24922.41,50.00,400.01,190.00,0.00
0.19500000000000006,0.015,24912.39,212.50,1680.10,460.01,0.00
0.21000000000000008,0.015,24872.32,125.00,1610.09,260.00,0.00
0.2250000000000001,0.015,25453.38,137.50,1090.04,450.01,30.00
0.2400000000000001,0.015,25653.75,487.51,2590.25,360.00,20.00
0.2550000000000001,0.015,25283.06,137.50,2830.29,850.03,10.00
0.27000000000000013,0.015,24882.34,137.50,760.02,930.03,20.00
0.28500000000000014,0.015,25042.63,300.00,780.02,480.01,0.00
0.30000000000000016,0.015,24772.14,475.01,1190.05,650.02,10.00
0.31500000000000017,0.015,25423.32,387.51,1110.05,900.03,0.00
0.3300000000000002,0.015,24982.52,312.50,2450.22,810.02,0.00
0.3450000000000002,0.015,25553.56,387.51,3700.50,500.01,20.00
0.3600000000000002,0.015,24591.82,512.51,2090.16,540.01,0.00
0.3750000000000002,0.015,23850.53,962.53,910.03,960.03,10.00
0.39000000000000024,0.015,24922.41,450.01,940.03,1000.04,10.00
0.40500000000000025,0.015,24641.91,362.50,2440.22,570.01,0.00
0.42000000000000026,0.015,23770.39,575.01,1130.05,9543.36,10.00
0.4350000000000003,0.015,25082.70,437.51,790.02,870.03,0.00
0.4500000000000003,0.015,24511.68,725.02,1290.06,690.02,0.00
0.4650000000000003,0.015,25593.63,975.03,1770.11,830.03,0.00
0.4800000000000003,0.015,25603.65,1862.63,2420.21,1540.09,10.00
0.49500000000000033,0.015,24792.18,2612.75,1440.08,1200.05,10.00
0.5100000000000003,0.015,25202.92,1900.13,710.02,1460.08,0.00
0.5250000000000004,0.015,25353.19,7614.61,1470.08,1680.10,10.00
0.5400000000000004,0.015,25603.65,1562.59,1690.10,900.03,0.00
0.5550000000000004,0.015,23910.63,887.53,990.04,1210.05,10.00
0.5700000000000004,0.015,24321.34,1275.06,560.01,970.03,20.00
0.5850000000000004,0.015,24141.03,875.03,1790.12,1350.07,20.00
0.6000000000000004,0.015,25052.65,662.52,970.03,1140.05,20.00
0.6150000000000004,0.015,24181.10,1562.59,1200.05,1180.05,10.00
0.6300000000000004,0.015,25102.74,1350.07,1190.05,1200.05,20.00
0.6450000000000005,0.015,24211.15,950.03,1020.04,1380.07,0.00
0.6600000000000005,0.015,24822.23,1287.56,940.03,1610.10,20.00
0.6750000000000005,0.015,24551.75,1600.09,600.01,940.03,0.00
0.6900000000000005,0.015,24030.84,2137.67,2190.18,880.03,0.00
0.7050000000000005,0.015,25012.58,1812.62,980.04,1080.04,10.00
0.7200000000000005,0.015,25092.72,2312.69,790.02,1620.10,0.00
0.7350000000000005,0.015,25323.14,1412.57,620.01,1300.06,0.00
0.7500000000000006,0.015,24621.87,1812.62,1110.05,1380.07,0.00
0.7650000000000006,0.015,24651.93,1650.10,1770.11,1450.08,10.00
0.7800000000000006,0.015,25573.60,1200.05,920.03,990.04,0.00
0.7950000000000006,0.015,25232.97,1875.13,2460.22,1720.11,10.00
0.8100000000000006,0.015,24742.09,2312.69,1730.11,1890.13,10.00
0.8250000000000006,0.015,24832.25,2950.32,1330.06,1450.08,0.00
0.8400000000000006,0.015,24852.28,2700.26,860.03,1620.10,10.00
0.8550000000000006,0.015,25162.85,1712.61,1180.05,1360.07,20.00
0.8700000000000007,0.015,25102.74,2662.76,760.02,1660.10,0.00
0.8850000000000007,0.015,26074.53,2625.25,1690.10,1560.09,10.00
0.9000000000000007,0.015,24892.36,2650.26,1520.08,1490.08,0.00
0.9150000000000007,0.015,24521.70,3087.85,1180.05,1930.14,0.00
0.9300000000000007,0.015,25473.41,2012.65,1710.11,1430.08,0.00
0.9450000000000007,0.015,25042.63,3900.55,2260.19,1750.11,10.00
0.9600000000000007,0.015,23980.75,1837.62,1240.06,1250.06,0.00
0.9750000000000008,0.015,24351.40,2400.21,1430.07,1380.07,0.00
0.9900000000000008,0.015,24511.68,2250.18,1110.05,900.03,0.00
1.0050000000000008,0.015,24090.94,2550.24,1100.04,1110.05,20.00
1.0200000000000007,0.015,23760.37,2212.68,1340.07,1560.09,10.00
1.0350000000000006,0.015,25373.23,2475.22,940.03,1110.05,0.00
1.0500000000000005,0.015,24090.94,2462.72,790.02,950.03,240.00
1.0650000000000004,0.015,24331.36,2325.20,5261.01,1100.04,0.00
1.0800000000000003,0.015,25693.82,2162.67,790.02,1080.04,100.00
1.0950000000000002,0.015,24962.48,1525.08,680.02,770.02,0.00
1.11,0.015,25523.51,1250.06,1600.09,790.02,110.00
1.125,0.015,24341.38,712.52,550.01,670.02,0.00
1.14,0.015,25202.92,787.52,1280.06,720.02,0.00
1.1549999999999998,0.015,24892.36,2025.15,860.03,1120.05,0.00
1.1699999999999997,0.015,24421.52,1087.54,280.00,660.02,0.00
1.1849999999999996,0.015,25072.68,1675.10,700.02,690.02,0.00
1.1999999999999995,0.015,25132.79,612.51,390.01,1060.04,0.00
1.2149999999999994,0.015,25242.99,700.02,590.01,630.01,0.00
1.2299999999999993,0.015,25182.88,562.51,310.00,490.01,0.00
1.2449999999999992,0.015,24291.29,587.51,280.00,540.01,0.00
1.2599999999999991,0.015,24311.33,812.52,510.01,550.01,0.00
1.274999999999999,0.015,24962.48,537.51,540.01,560.01,0.00
1.289999999999999,0.015,25713.86,737.52,530.01,580.01,0.00
1.3049999999999988,0.015,24451.57,625.01,330.00,750.02,0.00
1.3199999999999987,0.015,23349.67,900.03,740.02,460.01,0.00
1.3349999999999986,0.015,24581.80,775.02,320.00,740.02,0.00
1.3499999999999985,0.015,24952.47,987.54,280.00,600.01,0.00
1.3649999999999984,0.015,25463.39,925.03,320.00,780.02,0.00
1.3799999999999983,0.015,24401.48,525.01,400.01,530.01,0.00
1.3949999999999982,0.015,25273.05,425.01,320.00,860.03,20.00
1.4099999999999981,0.015,25253.01,700.02,390.01,710.02,20.00
1.424999999999998,0.015,25172.86,387.51,680.02,510.01,0.00
1.439999999999998,0.015,24942.45,300.00,300.00,750.02,0.00
1.4549999999999979,0.015,24621.87,600.01,280.00,490.01,0.00
1.4699999999999978,0.015,25503.47,187.50,250.00,550.01,0.00
1.4849999999999977,0.015,24341.38,312.50,270.00,370.01,0.00
1.4999999999999976,0.015,25653.75,487.51,360.00,470.01,0.00
1.5149999999999975,0.015,24621.87,162.50,280.00,630.01,10.00
1.5299999999999974,0.015,24241.20,175.00,2560.24,710.02,0.00
1.5449999999999973,0.015,25032.61,312.50,840.03,800.02,50.00
1.5599999999999972,0.015,24321.34,175.00,1510.08,420.01,30.00
1.574999999999997,0.015,25393.27,112.50,650.02,680.02,10.00
1.589999999999997,0.015,25102.74,150.00,1470.08,290.00,0.00
1.6049999999999969,0.015,24421.52,237.50,1100.04,660.02,10.00
1.6199999999999968,0.015,24581.80,112.50,640.02,830.03,10.00
1.6349999999999967,0.015,24922.41,50.00,570.01,100.00,0.00
0.015,0.03,24782.16,0.00,1580.09,580.01,0.00
0.03,0.03,24301.31,25.00,460.01,320.00,0.00
0.045,0.03,24281.27,25.00,230.00,230.00,60.00
0.06,0.03,24201.13,412.51,640.02,180.00,0.00
0.075,0.03,23990.77,250.00,320.00,240.00,0.00
0.09,0.03,24451.57,137.50,260.00,170.00,0.00
0.105,0.03,24271.25,312.50,600.01,380.01,10.00
0.12,0.03,23960.72,437.51,380.01,380.01,0.00
0.135,0.03,24421.52,187.50,440.01,450.01,0.00
0.15000000000000002,0.03,25403.28,287.50,400.01,330.00,110.00
0.16500000000000004,0.03,25383.25,225.00,310.00,180.00,0.00
0.18000000000000005,0.03,24952.47,412.51,290.00,400.01,10.00
0.19500000000000006,0.03,23840.51,1925.13,850.03,590.01,0.00
0.21000000000000008,0.03,25222.96,975.03,430.01,590.01,10.00
0.2250000000000001,0.03,23820.48,1200.05,330.00,520.01,0.00
0.2400000000000001,0.03,24902.38,1212.55,3080.35,760.02,0.00
0.2550000000000001,0.03,24772.14,1125.05,890.03,1120.05,0.00
0.27000000000000013,0.03,23760.37,975.03,480.01,790.02,40.00
0.28500000000000014,0.03,24651.93,1287.56,420.01,980.04,0.00
0.30000000000000016,0.03,24201.13,925.03,840.03,640.02,20.00
0.31500000000000017,0.03,24692.00,700.02,780.02,670.02,0.00
0.3300000000000002,0.03,25393.27,462.51,510.01,440.01,0.00
0.3450000000000002,0.03,25092.72,362.50,300.00,990.04,30.00
0.3600000000000002,0.03,25283.06,2912.81,690.02,730.02,0.00
0.3750000000000002,0.03,25253.01,762.52,930.03,570.01,0.00
0.39000000000000024,0.03,23780.40,950.03,550.01,590.01,10.00
0.40500000000000025,0.03,25313.12,1250.06,300.00,620.01,10.00
0.42000000000000026,0.03,23710.29,875.03,860.03,610.01,10.00
0.4350000000000003,0.03,25753.93,712.52,450.01,460.01,0.00
0.4500000000000003,0.03,24702.02,912.53,450.01,660.02,0.00
0.4650000000000003,0.03,25273.05,1337.56,560.01,630.01,0.00
0.4800000000000003,0.03,24992.54,1237.56,470.01,580.01,0.00
0.49500000000000033,0.03,24441.55,862.53,610.01,960.03,0.00
0.5100000000000003,0.03,24942.45,1487.58,610.01,720.02,0.00
0.5250000000000004,0.03,24020.82,1075.04,540.01,560.01,0.00
0.5400000000000004,0.03,25403.28,1112.54,910.03,900.03,0.00
0.5550000000000004,0.03,25162.85,687.52,500.01,780.02,0.00
0.5700000000000004,0.03,23570.05,1137.55,380.01,600.01,0.00
0.5850000000000004,0.03,24521.70,600.01,410.01,860.03,10.00
0.6000000000000004,0.03,25212.94,887.53,950.03,510.01,0.00
0.6150000000000004,0.03,23910.63,825.02,380.01,1150.05,0.00
0.6300000000000004,0.03,24521.70,1250.06,530.01,590.01,10.00
0.6450000000000005,0.03,24321.34,1000.04,1380.07,500.01,20.00
0.6600000000000005,0.03,25182.88,1350.07,1260.06,790.02,0.00
0.6750000000000005,0.03,24692.00,1437.58,470.01,400.01,0.00
0.6900000000000005,0.03,25283.06,787.52,450.01,300.00,10.00
0.7050000000000005,0.03,25623.69,1175.05,330.00,440.01,0.00
0.7200000000000005,0.03,25283.06,762.52,640.02,490.01,0.00
0.7350000000000005,0.03,24641.91,1000.04,450.01,500.01,0.00
0.7500000000000006,0.03,24601.84,787.52,780.02,390.01,0.00
0.7650000000000006,0.03,24982.52,1062.54,470.01,350.00,0.00
0.7800000000000006,0.03,24421.52,800.02,520.01,780.02,0.00
0.7950000000000006,0.03,25032.61,375.01,590.01,410.01,0.00
0.8100000000000006,0.03,24551.75,1462.58,420.01,700.02,0.00
0.8250000000000006,0.03,24301.31,1112.54,730.02,340.00,0.00
0.8400000000000006,0.03,24992.54,675.02,410.01,550.01,0.00
0.8550000000000006,0.03,24621.87,662.52,680.02,510.01,0.00
0.8700000000000007,0.03,25273.05,762.52,640.02,430.01,0.00
0.8850000000000007,0.03,24722.05,1162.55,810.02,880.03,0.00
0.9000000000000007,0.03,24521.70,562.51,1930.14,720.02,0.00
0.9150000000000007,0.03,24732.07,762.52,280.00,800.02,30.00
0.9300000000000007,0.03,24651.93,950.03,370.00,600.01,40.00
0.9450000000000007,0.03,24521.70,750.02,410.01,440.01,10.00
0.9600000000000007,0.03,24171.08,937.53,470.01,510.01,10.00
0.9750000000000008,0.03,23710.29,1075.04,610.01,420.01,10.00
0.9900000000000008,0.03,25763.95,487.51,310.00,530.01,0.00
1.0050000000000008,0.03,25202.92,412.51,370.00,670.02,0.00
1.0200000000000007,0.03,25172.86,412.51,490.01,390.01,0.00
1.0350000000000006,0.03,24852.28,487.51,440.01,710.02,10.00
1.0500000000000005,0.03,25533.53,862.53,210.00,390.01,0.00
1.0650000000000004,0.03,25874.15,1237.56,310.00,1010.04,10.00
1.0800000000000003,0.03,24651.93,875.03,260.00,540.01,0.00
1.0950000000000002,0.03,24661.95,562.51,180.00,490.01,0.00
1.11,0.03,25092.72,637.51,310.00,470.01,0.00
1.125,0.03,24171.08,400.01,1210.05,570.01,0.00
1.14,0.03,24060.89,487.51,240.00,630.01,0.00
1.1549999999999998,0.03,25794.01,475.01,210.00,320.00,0.00
1.1699999999999997,0.03,25112.75,475.01,180.00,200.00,0.00
1.1849999999999996,0.03,24712.04,62.50,160.00,200.00,0.00
