0.5221,11384.68,11454.74,12035.23,11925.13,11664.91
1.0161,11875.09,10794.21,10824.23,10984.36,12015.21
1.5101,11024.39,11935.14,11915.12,12105.29,11424.71
2.0041,10954.33,11654.90,11564.83,11604.86,11855.07
2.4981,11754.99,11714.95,11775.01,11875.09,12395.55
2.9921,11544.81,11895.11,11865.08,12375.53,11995.19
3.4861,11554.82,12956.06,12495.64,12075.26,11805.03
3.9801,11294.61,26505.35,12805.92,11164.50,11744.98
4.4741,12295.46,11544.81,12025.22,11674.92,12115.30
4.9681,11434.72,11454.74,11584.84,11204.53,11354.65
5.4621,11164.50,12075.26,12055.25,11314.62,11434.72
5.9561,11875.09,11905.12,12465.61,12095.28,11414.70
6.4502,12045.24,12305.47,12025.22,12455.60,11654.90
6.9441,12135.32,11795.02,12185.36,12335.49,11494.77
7.4382,11464.74,11244.56,12595.73,12986.09,11915.12
7.9322,12765.88,11484.76,12265.43,11754.99,11484.76
8.4262,12555.69,11955.16,12145.32,11354.65,11915.12
8.9202,11865.08,11925.13,11925.13,12215.39,11264.58
9.4142,12605.74,12415.56,12145.32,11975.18,11865.08
9.9082,11514.79,11945.15,12295.46,11724.96,11104.45
10.4022,12245.41,11965.17,12485.63,11454.74,11684.93
10.8962,12135.32,12145.32,12365.52,12165.34,11614.87
11.3902,11494.77,12505.65,11965.17,11354.65,11584.84
11.8842,11885.10,11865.08,11865.08,11574.84,11224.55
12.3782,11514.79,12465.61,11875.09,11654.90,11835.06
12.8722,11775.01,12095.28,12205.38,11454.74,11464.74
13.3662,11845.06,12165.34,11704.95,12005.20,12265.43
13.8602,11404.69,11845.06,11754.99,13386.47,11564.83
14.3542,11714.95,12295.46,11785.01,11564.83,12435.58
14.8482,11624.88,11344.65,12045.24,11935.14,12095.28
15.3422,12295.46,11674.92,12765.88,11414.70,11935.14
15.8362,12865.98,12275.44,12745.86,11865.08,11334.64
16.3302,11734.97,11714.95,12966.07,11835.06,11704.95
16.8242,12045.24,11654.90,12545.68,11704.95,11564.83
17.3183,12115.30,12575.71,10974.35,11434.72,12035.23
17.8123,11624.88,11985.19,12125.31,12155.33,11654.90
18.3063,12035.23,12295.46,11885.10,12095.28,11484.76
18.8003,12565.70,12185.36,11544.81,11674.92,12055.25
19.2943,12595.73,12105.29,11364.66,11474.75,11364.66
19.7883,11945.15,12605.74,12305.47,11815.04,12485.63
20.2823,11915.12,12335.49,11304.61,11724.96,12455.60
20.7763,11694.94,12755.87,11785.01,11404.69,12435.58
21.2703,12135.32,11845.06,12095.28,11744.98,11915.12
21.7643,11454.74,12475.62,11724.96,11434.72,12135.32
22.2583,12025.22,11935.14,11444.73,11875.09,11574.84
22.7523,11684.93,11674.92,11925.13,11454.74,11775.01
23.2463,12005.20,11324.63,11424.71,11604.86,11825.05
23.7403,11514.79,11895.11,13686.76,11184.52,11754.99
24.2343,11795.02,11624.88,12275.44,11684.93,11664.91
24.7283,12115.30,11404.69,11955.16,11765.00,11154.49
25.2223,12035.23,12245.41,11324.63,12125.31,12065.25
25.7163,11404.69,11564.83,12295.46,11835.06,11754.99
26.2104,12005.20,11104.45,11194.52,12425.57,11955.16
26.7043,11915.12,11855.07,12855.97,11825.05,11304.61
27.1984,12285.45,11925.13,11154.49,12405.56,11925.13
27.6924,12185.36,11474.75,12225.40,12695.82,12105.29
28.1864,11564.83,11444.73,11344.65,12315.47,12325.48
28.6804,12175.35,11985.19,12265.43,12435.58,12205.38
29.1744,12015.21,11925.13,11344.65,12065.25,12035.23
29.6684,11795.02,11264.58,11634.89,11815.04,11875.09
