Element,Line,Average,StdDev,Outliers
S34,line_1,11867.047391304346,439.491290641483,0
S34,line_2,11939.374444444444,432.90809902618963,1
S34,line_3,11920.572173913044,461.53290088061334,0
S34,line_4,11850.729782608694,477.7032656071045,0
S34,line_5,11820.700434782606,361.8440616929061,0
S34,Total,11879.684845410628,44.07240286203966
Ca43,line_1,5057.07537037037,1881.8022086953742,0
Ca43,line_2,4525.216481481481,2150.6386644653203,0
Ca43,line_3,4806.604444444445,2403.8033839234286,0
Ca43,line_4,4604.459074074074,2445.072483149088,0
Ca43,line_5,5807.915555555556,2396.120879162407,0
Ca43,Total,4960.254185185186,462.0303774175233
Fe56,line_1,5417.524035087719,2910.641361871659,1
Fe56,line_2,4900.691379310344,2997.4203476584194,0
Fe56,line_3,3358.7490566037727,2464.7631078472373,5
Fe56,line_4,3484.669824561404,2277.842221879549,1
Fe56,line_5,3906.8290566037736,3393.3444509050046,5
Fe56,Total,4213.692670433402,809.6598484114195
Zn66,line_1,1184.5024444444443,424.6085674027344,2
Zn66,line_2,952.163829787234,286.70494969755475,0
Zn66,line_3,894.3802173913042,246.42279381344233,1
Zn66,line_4,747.1638095238095,167.7008799413604,5
Zn66,line_5,984.705111111111,276.17379688741266,2
Zn66,Total,952.5830824515806,141.70620463238447
W182,line_1,273.6403030303031,212.1082837449813,4
W182,line_2,123.05638888888888,103.92030945640718,1
W182,line_3,62.5,57.0087712549569,5
W182,line_4,75.9375,82.00073837320004,5
W182,line_5,158.43875,162.04254845853757,5
W182,Total,138.7145883838384,75.61586677968253
