Time [Sec],line_1,line_2,line_3,line_4,line_5
0.5221,0.0,25.0,37.5,0.0,0.0
1.0161,1025.04,2412.71,2650.26,2425.21,2600.25
1.5101,2937.81,2900.31,2450.22,2150.17,1475.08
2.0041,6514.04,5363.54,4688.3,5438.57,2162.67
2.4981,4988.4,7326.95,1900.13,4375.7,2075.16
2.9921,6063.84,5826.23,2962.82,6514.04,3788.02
3.4861,3975.57,6276.43,2550.24,3200.37,5951.29
3.9801,5588.63,5976.3,5576.13,7714.66,7201.88
4.4741,4338.18,5388.55,3075.34,5563.62,7001.78
4.9681,6376.48,6213.9,750.02,4775.83,5601.14
5.4621,3750.51,4075.6,1512.58,6138.87,7877.25
5.9561,5238.5,4275.66,4150.63,8752.78,8064.86
6.4502,6251.42,4738.32,3275.39,6126.36,7201.88
6.9441,4200.64,3763.01,3062.84,3713.0,7064.31
7.4382,1462.58,3888.05,1875.13,3575.46,8102.38
7.9322,1437.58,5676.17,2175.17,2562.74,7414.5
8.4262,1812.62,6764.16,2837.79,8239.97,12067.79
8.9202,4700.8,3487.94,5526.11,6076.34,6976.77
9.4142,6889.22,4875.86,4863.36,4825.85,6764.16
9.9082,7552.07,3025.33,4638.28,4250.66,5763.71
10.4022,5488.59,1450.08,2887.8,5663.67,7226.9
10.8962,3075.34,1137.55,3525.45,3450.43,3925.56
11.3902,5113.45,1350.07,4175.63,4538.25,3838.04
11.8842,5726.19,4575.76,3075.34,4725.81,5451.08
12.3782,5050.93,2725.27,4363.19,6238.91,4438.22
12.8722,5538.61,2250.18,5638.65,7602.1,3775.52
13.3662,4613.27,4138.12,5626.15,3925.56,6726.64
13.8602,5125.95,1900.13,6426.5,3000.33,4225.65
14.3542,6639.1,2487.72,9315.65,3662.99,3500.45
14.8482,6013.81,3587.97,7889.76,8890.37,9853.53
15.8362,3262.89,6726.64,4663.29,7314.44,6626.59
16.3302,5276.01,6751.65,6013.81,6689.13,8177.43
17.3183,8239.97,3125.35,3262.89,10316.36,6639.1
17.8123,6001.31,4313.18,4700.8,4438.22,5763.71
18.3063,6964.26,5576.13,3775.52,5426.07,6801.68
18.8003,4750.82,7326.95,6051.33,6451.51,6163.88
19.2943,3375.41,2250.18,5938.78,7276.92,8952.91
19.7883,4313.18,1362.57,8177.43,6063.84,6113.86
20.2823,6851.7,2050.15,9265.62,6614.09,5913.77
21.2703,7226.9,1950.14,8840.34,7552.07,5913.77
21.7643,8452.59,3575.46,5538.61,6238.91,4600.77
22.2583,5313.53,6101.35,2387.71,1237.56,2025.15
22.7523,4275.66,8952.91,3037.84,787.52,1812.62
23.2463,4888.37,7527.06,1187.55,887.53,3888.05
24.2343,7702.15,4350.69,7539.56,1962.64,5988.8
25.2223,3713.0,6451.51,7289.43,825.02,11279.62
25.7163,6464.02,6551.56,9378.19,600.01,9315.65
26.2104,6576.57,4238.15,5838.74,912.53,6413.99
26.7043,6238.91,9178.06,8290.0,1275.06,7089.33
27.6924,5876.25,8665.23,5426.07,1175.05,6126.36
28.1864,5688.68,7552.07,9090.5,2312.69,4800.84
28.6804,8365.04,5401.06,5338.54,5826.23,2662.76
29.1744,3888.05,3575.46,6226.41,4538.25,5701.18
29.6684,1887.63,2925.31,8815.32,3800.52,6739.15
