Time [Sec],line_1,line_2,line_3,line_4,line_5
0.5220,25.0,12.5,175.0,37.5,0.0
1.0160,40145.96,39606.9,69085.43,71648.48,61763.25
1.5100,32826.6,65166.39,62717.56,106825.41,68419.61
2.0040,97103.79,103210.48,107014.37,63609.13,90773.31
2.4980,149381.17,119365.3,122505.2,112747.35,103789.82
2.9920,162339.14,128761.92,138606.84,133872.83,108009.58
3.4860,112911.2,127109.17,75695.05,136006.08,130667.25
3.9800,104104.68,138568.96,41675.5,122517.81,129354.95
4.4741,135084.59,117940.6,60846.68,105238.25,168765.75
4.9681,111751.78,153539.04,151807.5,87187.75,111751.78
5.4621,142572.02,142231.03,103537.93,17936.68,165665.92
5.9561,110756.29,162743.89,152932.34,118192.74,82169.52
6.4501,114032.88,179778.86,128408.63,41763.26,49952.97
6.9441,122984.45,120020.96,107631.64,136713.04,30533.83
7.4381,53328.1,133797.1,79001.05,110164.06,8152.41
7.9321,62491.53,109055.29,83640.84,159253.41,145868.79
8.4261,66334.45,103638.69,85778.94,138430.07,112936.39
8.9201,126125.17,114726.1,120638.83,152313.03,99533.55
9.4141,108211.16,100691.93,73985.8,106422.3,107266.31
9.9081,122757.44,102656.36,121130.62,27878.2,110655.48
10.4021,128143.69,117058.12,187949.41,73194.08,171663.75
10.8961,100263.83,151542.09,144163.47,96096.76,145426.65
11.3901,122227.75,128736.69,154980.06,182159.86,117612.81
11.8841,181843.2,138278.56,106283.74,120374.03,132863.11
12.3781,129847.04,151377.8,148243.97,162250.61,131285.59
12.8721,99936.46,105527.96,163819.02,155119.1,181260.6
13.3661,127096.55,168968.2,156775.21,148660.93,121294.55
13.8601,124006.06,135185.56,180867.98,164502.1,96776.5
14.3541,110617.68,122997.06,133330.09,167677.57,160201.82
14.8482,128862.86,107871.01,139187.65,108236.37,175739.7
15.3422,67176.01,129216.14,138291.19,112810.37,284803.6
15.8362,123173.62,148521.94,146475.19,104520.3,121710.71
16.3302,135816.73,150038.25,103877.98,170183.04,131235.11
16.8242,102517.84,138543.7,125065.58,131096.29,122265.59
17.3182,92333.64,139238.16,141839.52,162566.81,120966.69
17.8122,171397.97,187341.19,121168.45,128509.57,121143.23
18.3062,146083.56,164603.3,113755.59,111903.01,150632.18
18.8002,114625.27,153210.4,148534.57,140740.82,133532.05
19.2942,86319.8,146424.66,148812.55,137319.02,171689.05
19.7882,112507.91,171689.05,147384.82,116906.84,142963.55
20.2822,160998.54,145312.97,97368.15,95807.25,150847.02
20.7762,145262.44,138531.08,85288.41,85879.56,105464.98
21.2702,121571.99,112054.23,128913.32,97443.68,143847.7
21.7642,168449.41,130011.07,141043.91,124876.37,146437.28
22.2582,173612.97,179500.26,155991.37,112142.45,134402.96
22.7522,179272.32,110605.08,183857.21,152755.39,109962.47
23.2462,127235.32,104671.45,175030.75,181007.3,142155.25
23.7402,186809.05,73470.55,247836.16,157028.07,126263.94
24.2342,190547.26,62453.86,128749.29,159152.25,153412.64
24.7283,150290.99,134201.0,155283.44,96134.52,144580.3
25.2223,148951.54,161985.01,73269.48,102177.82,182349.85
25.7163,149103.18,140084.18,33553.34,115898.37,100742.3
26.2103,142319.44,98161.26,119957.93,127727.35,114121.11
26.7043,154259.52,110088.47,79642.23,113566.54,105628.73
27.1983,179576.24,119403.13,31348.15,144706.63,142433.11
27.6923,187379.22,308634.06,102240.79,175486.5,96323.34
28.1863,96889.79,115230.29,108526.14,188038.1,139313.92
28.6803,97632.52,156686.71,44559.51,103550.53,142660.44
29.1743,101925.97,165741.84,8502.63,80522.33,136915.03
29.6683,139983.16,198343.73,82785.7,59490.77,170904.39
