Element,Line,Average,StdDev,Outliers
S34,line_1,21132.60847457628,5448.159319835576,1
S34,line_2,18946.903050847457,3933.2525906991455,1
S34,line_3,21895.683050847456,5923.732913996912,1
S34,line_4,20273.988965517237,4940.660053255725,2
S34,line_5,21033.431034482757,7022.302527882318,2
Ca43,line_1,125120.52101694915,35894.82239713763,1
Ca43,line_2,130612.32724137932,30492.90418436659,2
Ca43,line_3,115356.16166666665,45918.39655962902,0
Ca43,line_4,118616.27733333333,39920.586499075966,0
Ca43,line_5,122458.65203389831,38119.55349804233,1
Fe56,line_1,118931.87559322033,102156.83042037605,1
Fe56,line_2,75934.42431034482,59981.162861834266,2
Fe56,line_3,115000.76,112995.250839379,1
Fe56,line_4,83856.97620689655,66913.98700522237,2
Fe56,line_5,90507.92241379309,68141.30161527071,2
Zn66,line_1,49689.930344827575,121539.19298963938,1
Zn66,line_2,32895.320175438595,53832.252274274426,2
Zn66,line_3,35369.26210526316,51042.85477511193,2
Zn66,line_4,35304.94637931034,66224.33185953069,1
Zn66,line_5,37190.870350877194,52731.53365876883,2
W182,line_1,2441.448392857143,3553.093719229954,1
W182,line_2,2437.767636363637,3972.3278997466114,2
W182,line_3,2862.5729090909094,5416.273648092108,2
W182,line_4,4972.18,11407.401303103612,1
W182,line_5,3187.020727272727,4505.1517918614245,2
