D:\Data\McGill_Bone_A_03.b\008SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/27/2018 10:07:32 PM using Batch McGill_Bone_A_03.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,11444.73,175.00,34423.34,5571.14,500.01
1.0161,14597.69,69085.43,26485.67,7051.83,1530.09
1.5101,18432.26,62717.56,239217.54,9363.23,1390.08
2.0041,18542.41,107014.37,117614.43,22769.09,2460.24
2.4981,19704.01,122505.20,54608.99,20074.84,3010.36
2.9921,17601.18,138606.84,79390.16,15719.10,6361.60
3.4861,22718.63,75695.05,152699.19,7452.05,870.03
3.9801,24321.34,41675.50,191148.83,108965.83,400.01
4.4741,25894.19,60846.68,54358.00,36188.20,124701.71
4.9681,124366.09,151807.50,414065.19,98506.32,5991.42
5.4621,19493.71,103537.93,72863.92,25904.71,1550.09
5.9561,28449.20,152932.34,281318.78,11194.62,1440.08
6.4501,21005.92,128408.63,64230.74,13166.39,760.02
6.9441,24922.41,107631.64,47863.75,9593.39,1280.06
7.4381,20535.22,79001.05,108640.54,13696.91,720.02
7.9321,29812.06,83640.84,65215.39,11805.13,420.01
8.4261,23770.39,85778.94,162673.40,19323.75,310.00
8.9201,21576.80,120638.83,283891.21,22148.06,370.01
9.4142,20114.60,73985.80,56084.96,14257.49,9293.41
9.9082,17461.00,121130.62,92240.56,36047.83,4090.66
10.4022,15698.90,187949.41,20174.89,11705.05,660.02
10.8962,15678.87,144163.47,45004.05,312671.89,97091.22
11.3902,43026.76,154980.06,160083.04,28940.83,3210.41
11.8842,16670.03,106283.74,112864.60,26105.09,3030.36
12.3782,16159.42,148243.97,37892.51,28149.17,1350.07
12.8722,16810.20,163819.02,20926.03,26225.32,610.01
13.3662,15869.09,156775.21,12495.72,19904.59,410.01
13.8602,15638.83,180867.98,34142.64,34995.08,790.02
14.3542,20945.83,133330.09,61538.38,21326.75,1520.09
14.8482,20965.86,139187.65,39577.28,14657.91,680.02
15.3422,16650.01,138291.19,39306.50,16119.57,1960.15
15.8362,18692.61,146475.19,435063.24,321904.08,27129.06
16.3302,29401.19,103877.98,720018.50,50383.38,620.02
16.8242,29441.27,125065.58,90267.42,20765.88,1830.13
17.3182,21757.08,141839.52,332264.53,232841.01,460.01
17.8122,35956.63,121168.45,84017.72,88246.06,690.02
18.3062,23610.11,113755.59,160629.40,178668.77,17211.70
18.8002,29922.30,148534.57,310654.57,187304.06,4640.85
19.2942,18792.75,148812.55,91354.63,18572.70,950.04
19.7883,21005.92,147384.82,363382.42,221513.69,3780.56
20.2823,19363.53,97368.15,150353.37,14738.00,3740.55
20.7763,20435.07,85288.41,146239.04,14958.24,3600.51
21.2703,20615.34,128913.32,83403.98,19003.30,1560.10
21.7643,19223.34,141043.91,69576.83,18462.55,1780.13
22.2583,18141.88,155991.37,37341.00,17441.20,1590.10
22.7523,18522.38,183857.21,32458.54,25624.17,1970.15
23.2463,14988.11,175030.75,10013.67,25503.95,1010.04
23.7403,15498.67,247836.16,8732.79,24942.91,460.01
24.2343,17250.74,128749.29,25553.89,21056.33,50.00
24.7283,17270.77,155283.44,81220.88,16890.51,350.00
25.2223,25773.97,73269.48,122446.64,17521.31,250.00
25.7163,30493.54,33553.34,70853.38,6731.67,360.01
26.2103,32197.39,119957.93,502562.65,25163.31,200.00
26.7043,23810.46,79642.23,83323.49,9943.64,50.00
27.1983,25723.88,31348.15,66169.96,5771.23,40.00
27.6923,23570.05,102240.79,42225.19,13376.59,100.00
28.1863,19673.97,108526.14,43950.63,10574.12,160.00
28.6803,23920.65,44559.51,26635.96,5291.03,20.00
29.1743,29531.46,8502.63,51868.34,2620.25,70.00
29.6684,32748.69,82785.70,79440.45,21256.64,26708.17


          Printed:4/27/2018 10:08:06 PM
