D:\Data\McGill_Bone_A_03.b\010SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/27/2018 10:08:49 PM using Batch McGill_Bone_A_03.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5218,11534.80,0.00,171014.39,8792.85,4720.88
1.0158,14527.62,61763.25,67627.07,10223.85,5071.02
1.5098,16950.37,68419.61,124646.40,23330.04,8072.57
2.0039,18852.83,90773.31,61176.76,11274.68,2210.19
2.4979,20785.59,103789.82,49860.88,27227.29,910.03
2.9919,19523.76,108009.58,7291.95,24452.01,170.00
3.4859,15398.56,130667.25,24552.06,19824.47,3170.40
3.9799,16950.37,129354.95,45897.02,114440.63,19114.43
4.4739,20415.04,168765.75,124525.32,27537.92,640.02
4.9679,21376.49,111751.78,133186.49,15018.31,5301.11
5.4619,136237.04,165665.92,105647.19,17981.91,5671.27
5.9559,19213.32,82169.52,54819.84,5841.26,2020.16
6.4499,20855.70,49952.97,60011.60,8702.79,380.01
6.9439,22277.91,30533.83,59378.85,7321.97,2480.24
7.4379,27176.65,8152.41,36508.75,7321.97,7061.97
7.9319,52870.76,145868.79,160042.58,170524.96,1010.04
8.4259,23620.13,112936.39,79832.73,15568.93,3670.53
8.9199,23179.39,99533.55,138468.65,44141.69,440.01
9.4139,25052.65,107266.31,63637.97,12255.53,720.02
9.9079,20254.81,110655.48,131268.04,312088.71,48492.78
10.4019,25593.63,171663.75,122608.07,20014.75,170.00
10.8959,17781.41,145426.65,60975.86,17140.82,5010.99
11.3899,22798.76,117612.81,42375.66,25063.13,500.01
11.8840,17280.78,132863.11,18602.66,19343.78,1250.06
12.3780,15879.10,131285.59,973277.72,418156.24,19344.78
12.8720,20775.58,181260.60,83615.26,22929.36,270.00
13.3660,18892.88,121294.55,79309.69,20034.78,1360.07
13.8600,24671.96,96776.50,72884.03,37672.23,2700.29
14.3540,15989.23,160201.82,43760.02,45195.15,2410.23
14.8480,16339.64,175739.70,18162.07,22849.23,11715.42
15.3420,124517.44,284803.60,669597.18,259059.92,19084.39
15.8360,15859.08,121710.71,64763.24,18562.69,340.00
16.3300,18592.48,131235.11,141913.75,20084.86,1170.05
16.8240,21496.68,122265.59,82055.85,13216.43,480.01
17.3180,21456.61,120966.69,106523.95,50493.79,2730.29
17.8120,17380.90,121143.23,35064.97,11885.20,280.00
18.3060,17751.37,150632.18,39125.98,15038.33,930.03
18.8000,20104.59,133532.05,101284.31,20455.41,710.02
19.2940,53663.80,171689.05,188593.65,286932.42,8222.67
19.7880,16690.05,142963.55,25173.19,21176.51,150.00
20.2820,17350.87,150847.02,42546.19,9883.60,210.00
20.7760,19013.05,105464.98,41813.93,17060.72,850.03
21.2701,17751.37,143847.70,88968.94,35145.46,1310.07
21.7641,19513.74,146437.28,48194.92,33100.33,600.01
22.2581,20855.70,134402.96,138529.26,62222.36,1480.09
22.7521,19323.48,109962.47,119379.66,472383.00,46535.45
23.2461,22788.74,142155.25,114155.25,20535.53,670.02
23.7401,18932.94,126263.94,42445.88,36609.33,3440.47
24.2341,15799.01,153412.64,20255.01,32899.84,1700.11
24.7281,15598.78,144580.30,49620.01,22418.51,2300.21
25.2221,18983.01,182349.85,75588.67,14968.25,920.03
25.7161,25202.92,100742.30,396289.17,26285.44,630.02
26.2101,23630.15,114121.11,290855.52,80125.91,660.02
26.7041,21005.92,105628.73,197021.42,90742.45,3010.36
27.1981,24531.72,142433.11,104841.00,19473.97,1430.08
27.6921,32077.12,96323.34,179066.66,17841.72,3540.50
28.1861,20024.47,139313.92,158939.80,18712.90,2400.23
28.6801,22628.48,142660.44,29792.47,13797.01,520.01
29.1741,17561.13,136915.03,57751.89,24832.70,1950.15
29.6681,17551.12,170904.39,27217.10,24291.73,1020.04


          Printed:4/27/2018 10:09:23 PM
