D:\Data\McGill_4wk_ctl_femurhead.b\011SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 9:41:49 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,23920.65,0.00,180.00,260.00,0.00
1.0161,25232.97,37.50,80.00,410.01,0.00
1.5101,24301.31,212.50,260.00,130.00,0.00
2.0041,23640.17,137.50,290.00,170.00,0.00
2.4981,24110.98,237.50,280.00,280.00,0.00
2.9921,24772.14,437.51,150.00,230.00,0.00
3.4861,23560.03,312.50,380.01,360.00,0.00
3.9801,24511.68,137.50,560.01,290.00,0.00
4.4741,24651.93,287.50,110.00,270.00,0.00
4.9681,23690.25,500.01,170.00,210.00,0.00
5.4621,24722.05,187.50,270.00,500.01,0.00
5.9561,25032.61,212.50,210.00,370.01,0.00
6.4502,24581.80,387.51,210.00,290.00,0.00
6.9441,24792.18,137.50,3920.56,4670.80,0.00
7.4382,24561.77,712.52,8662.75,8962.96,20.00
7.9322,25293.08,562.51,3390.42,1190.05,0.00
8.4262,24120.99,350.00,600.01,570.01,0.00
8.9202,24401.48,312.50,400.01,560.01,0.00
9.4142,23019.12,200.00,230.00,390.01,0.00
9.9082,24541.73,187.50,340.00,450.01,0.00
10.4022,25122.77,44672.37,9703.45,320.00,140.00
10.8962,24621.87,900.03,2270.19,2590.25,0.00
11.3902,29040.43,825.02,7111.85,3910.56,10.00
11.8842,31074.84,1125.05,5351.05,2090.16,10.00
12.3782,29541.48,2187.67,12155.41,8692.78,10.00
12.8722,31305.35,22994.19,17080.68,41593.66,60.00
13.3662,29761.96,72980.45,22859.12,108411.41,100.00
13.8602,29912.28,111424.15,1700.11,29181.35,20.00
14.3542,29471.34,116629.49,4310.68,10444.02,30.00
14.8482,30313.15,115986.60,910.03,8442.63,10.00
15.3422,28429.16,69487.45,4010.59,3710.51,0.00
15.8362,29090.53,60997.35,1520.08,1720.11,0.00
16.3302,28248.79,30834.49,2910.31,1920.14,10.00
16.8242,30132.76,79855.96,850.03,2180.18,0.00
17.3183,29872.19,77957.63,750.02,2860.30,10.00
17.8123,30182.86,107833.22,940.03,3210.38,10.00
18.3063,28499.30,94838.08,570.01,3000.33,0.00
18.8003,28228.75,109307.28,710.02,2970.32,0.00
19.2943,28459.22,49915.34,750.02,1910.13,0.00
19.7883,29701.83,118268.39,850.03,1670.10,0.00
20.2823,26575.48,25448.50,1550.09,1140.05,0.00
20.7763,29331.04,56038.84,800.02,940.03,0.00
21.2703,29240.85,44220.92,850.03,2000.15,20.00
21.7643,28148.59,12668.33,1150.05,440.01,0.00
22.2583,30222.95,73520.81,650.02,1290.06,0.00
22.7523,28038.36,22543.45,1170.05,1210.05,0.00
