D:\Data\McGill_4wk_ctl_femurhead.b\077SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:50:32 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,31706.26,50.00,4970.90,2160.17,40.00
1.0161,26144.66,887.53,8412.59,1870.13,30.00
1.5101,25944.29,7502.04,307494.23,96179.71,190.00
2.0041,27687.66,114095.90,9483.29,31616.80,80.00
2.4981,26485.31,131361.31,1750.11,12135.42,0.00
2.9921,27547.38,142420.47,8162.44,11224.64,30.00
3.4862,27747.78,130793.44,810.02,9033.01,30.00
3.9802,26936.18,140021.05,840.03,12095.39,10.00
4.4742,28168.63,138796.23,770.02,9503.33,10.00
4.9682,27216.73,130225.59,1000.04,8212.48,0.00
5.4622,27397.08,126327.02,720.02,8862.89,0.00
5.9562,27878.04,126074.71,490.01,7722.20,0.00
6.4502,27296.88,140551.41,1400.07,9053.02,20.00
6.9442,26765.85,113919.45,770.02,11294.70,330.00
7.4382,26194.76,135021.46,790.02,6741.67,10.00
7.9322,26545.42,132863.11,750.02,10884.36,0.00
8.4262,27086.47,135980.84,900.03,9893.61,0.00
8.9202,27537.36,133885.45,700.02,10564.11,70.00
9.4142,27126.55,140867.11,1090.04,9743.50,30.00
9.9082,26335.02,124346.61,1080.04,9073.03,20.00
10.4022,26575.48,129253.99,1020.04,10103.76,10.00
10.8962,26345.04,120865.81,1960.14,10974.44,0.00
11.3902,28328.95,136801.41,1400.07,17451.22,0.00
11.8842,27367.02,137344.28,7882.27,27608.06,0.00
12.3782,27246.78,100817.85,28299.30,13847.06,10.00
12.8722,27166.63,32914.30,42576.28,3830.54,0.00
13.3663,28479.26,2850.30,75146.24,1480.08,0.00
13.8603,26846.00,1587.59,77801.04,1700.11,0.00
14.3543,26264.89,1312.56,107834.18,750.02,0.00
14.8483,26675.68,1187.55,140428.51,980.04,10.00
15.3423,26755.83,2512.73,119954.67,670.02,0.00
15.8363,26805.92,850.03,62894.54,690.02,0.00
16.3303,25453.38,750.02,30574.20,510.01,0.00
16.8243,25433.34,1300.06,71426.35,520.01,0.00
17.3183,27086.47,1150.05,59569.68,880.03,0.00
17.8123,26455.25,1400.07,23570.33,780.02,0.00
18.3063,26425.19,1675.10,27106.88,510.01,0.00
18.8003,26545.42,27164.28,30574.20,11995.30,0.00
19.2943,27467.22,146765.75,1680.10,12665.91,0.00
19.7883,27326.94,129607.29,19724.24,10193.83,0.00
20.2823,28599.51,23457.47,35877.08,2980.33,0.00
20.7763,26224.81,3412.92,17771.56,1740.11,0.00
21.2703,27306.90,3087.85,25103.06,1480.08,0.00
21.7643,27286.86,1887.63,43168.14,1380.07,40.00
22.2583,27497.28,1737.61,24622.18,1170.05,0.00
22.7523,26715.75,1637.60,24852.60,1080.04,0.00
23.2463,27306.90,2150.17,18702.80,1730.11,0.00
23.7404,27066.43,34881.64,17431.12,9103.05,0.00
24.2344,27136.57,101913.38,6301.45,20054.81,0.00
24.7284,28118.52,121181.06,3250.39,17070.73,0.00
25.2224,27407.10,118671.84,2250.19,15018.31,0.00
25.7164,27336.96,128383.40,1180.05,18913.17,10.00
26.2104,27968.22,135753.62,1380.07,17891.79,0.00
26.7044,27116.53,139869.51,1080.04,18662.83,0.00
27.1984,27667.62,138606.84,1150.05,19654.22,0.00
27.6924,27367.02,136990.77,1780.12,17991.92,0.00
28.1864,27657.60,122063.81,1380.07,20134.93,20.00
28.6804,27066.43,127147.01,1230.06,28409.71,10.00
29.1744,27667.62,133014.57,1790.12,26335.54,10.00
29.6684,27487.26,105855.46,4670.80,21947.74,30.00
30.1624,27026.35,114234.54,2520.23,17010.66,10.00
30.6564,27467.22,71811.83,20795.82,4960.91,0.00
31.1504,27497.28,11429.74,27918.52,2010.15,0.00
31.6444,26906.12,2800.28,22318.23,1840.12,0.00
32.1384,27737.76,2275.19,59870.99,1190.05,0.00
32.6325,27517.32,950.03,3420.43,500.01,0.00
33.1264,24141.03,762.52,1050.04,320.00,0.00
33.6205,24651.93,1237.56,18041.91,1870.13,0.00
34.1145,26184.74,48297.08,21877.51,20595.62,0.00
34.6085,28078.44,118697.06,5321.04,30694.68,0.00
35.1025,28108.51,94057.75,24141.33,17341.08,0.00
35.5965,30092.67,101686.70,13236.41,8092.41,0.00
36.0905,31666.17,101573.37,6301.45,10674.20,20.00
36.5845,34853.82,62177.61,7111.85,1330.07,0.00
37.0785,33821.26,6439.01,8292.52,500.01,0.00
37.5725,38112.39,30634.05,4260.66,2800.29,10.00
38.0665,33390.22,152477.33,1420.07,1880.13,0.00
38.5605,32748.69,92346.22,2060.16,1070.04,0.00
39.0545,30864.36,52637.95,1920.14,2310.20,0.00
39.5485,30754.12,122303.42,680.02,2520.23,0.00
40.0425,31886.68,128206.78,780.02,1750.11,0.00
40.5365,30814.25,116742.95,490.01,2140.17,0.00
41.0305,31325.40,111461.95,640.02,2350.20,0.00
41.5245,31335.42,137293.78,530.01,2330.20,0.00
42.0185,31425.63,90194.53,630.01,2090.16,0.00
42.5126,30453.46,142584.66,490.01,2080.16,0.00
43.0065,34252.32,70354.33,550.01,950.03,0.00
43.5006,29922.30,7664.63,740.02,570.01,0.00
43.9946,28729.78,41449.81,640.02,3390.42,10.00
44.4886,32016.98,90571.99,720.02,2860.30,10.00
44.9826,31225.17,116730.35,760.02,5851.26,0.00
45.4766,32878.99,115847.94,700.02,5030.93,10.00
45.9706,33059.42,121458.49,680.02,29632.32,20.00
46.4646,34061.85,108009.58,5601.15,79643.07,30.00
