D:\Data\McGill_4wk_ctl_femurhead.b\006SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 9:36:37 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24892.36,0.00,140.00,90.00,0.00
1.0160,24551.75,37.50,110.00,60.00,0.00
1.5100,24601.84,37.50,170.00,130.00,0.00
2.0040,23950.70,87.50,200.00,150.00,0.00
2.4980,24141.03,100.00,210.00,80.00,0.00
2.9920,24511.68,75.00,210.00,220.00,0.00
3.4860,24942.45,75.00,220.00,210.00,0.00
3.9800,25062.66,787.52,240.00,130.00,0.00
4.4741,23800.44,25.00,140.00,130.00,0.00
4.9681,23489.91,100.00,210.00,120.00,0.00
5.4621,24852.28,87.50,180.00,50.00,0.00
5.9561,24110.98,25.00,180.00,200.00,0.00
6.4501,24010.80,50.00,190.00,200.00,0.00
6.9441,24191.12,125.00,270.00,90.00,0.00
7.4381,24291.29,87.50,240.00,200.00,0.00
7.9321,24651.93,87.50,210.00,130.00,20.00
8.4261,24351.40,100.00,1010.04,230.00,0.00
8.9201,24151.05,137.50,190.00,210.00,0.00
9.4141,24742.09,600.01,300.00,240.00,0.00
9.9081,24832.25,125.00,190.00,180.00,0.00
10.4021,24301.31,137.50,230.00,210.00,0.00
10.8961,24972.50,137.50,120.00,180.00,0.00
11.3901,24261.24,137.50,230.00,280.00,0.00
11.8841,25092.72,250.00,190.00,120.00,0.00
12.3781,24251.22,175.00,310.00,210.00,0.00
12.8721,25192.90,187.50,360.00,250.00,0.00
13.3661,24752.11,137.50,250.00,300.00,0.00
13.8601,25172.86,100.00,240.00,220.00,0.00
14.3541,25012.58,100.00,200.00,340.00,0.00
14.8482,24341.38,287.50,190.00,220.00,0.00
15.3422,24631.89,150.00,300.00,190.00,0.00
15.8362,24381.45,75.00,250.00,500.01,0.00
16.3302,26114.61,237.50,2090.16,1390.07,0.00
16.8242,26725.77,800.02,5651.17,2160.17,0.00
17.3182,29130.61,800.02,7582.10,2360.21,20.00
17.8122,31325.40,950.03,8192.46,2370.21,0.00
18.3062,30573.72,1112.54,11494.84,2340.20,10.00
18.8002,30243.00,4075.60,14377.57,4200.65,10.00
19.2942,32167.33,19075.71,45997.35,26646.14,20.00
19.7882,29972.41,16372.23,48576.26,29000.96,70.00
20.2822,30062.60,18524.96,36849.66,16199.67,40.00
20.7762,31195.10,16247.08,34704.05,14958.24,10.00
21.2702,30633.85,25799.16,47161.31,29241.48,100.00
21.7642,31736.33,43769.48,40469.89,55633.83,80.00
22.2582,31646.13,70454.84,42084.76,57551.81,80.00
22.7522,31565.94,68118.12,33180.27,87038.30,120.00
23.2462,30363.26,80534.90,26686.05,74644.77,70.00
23.7402,29771.98,100112.73,13466.64,86514.96,160.00
24.2342,30363.26,89779.32,7822.24,69236.21,90.00
24.7283,30914.48,79969.12,31345.94,46328.96,70.00
25.2223,30323.17,97607.33,17631.38,89453.93,70.00
25.7163,31215.15,81339.61,23820.76,53414.94,80.00
26.2103,30663.92,90836.22,39366.67,66130.78,90.00
26.7043,32067.09,90521.66,27647.97,81212.34,140.00
27.1983,31555.92,68758.80,34423.34,56607.85,30.00
27.6923,29611.63,68432.18,45947.19,81886.37,130.00
28.1863,31425.63,46766.81,28108.91,27808.47,100.00
28.6803,30273.06,14970.64,35646.47,10764.27,20.00
29.1743,30924.50,2162.67,3560.46,1410.07,0.00
29.6683,30313.15,1187.55,1850.13,1310.06,10.00
30.1623,30734.08,1037.54,3840.54,1770.12,0.00
30.6563,29641.70,925.03,3210.38,2440.22,0.00
31.1503,30092.67,1062.54,3600.47,2530.24,0.00
31.6443,30924.50,1137.55,4350.69,2040.15,0.00
32.1383,28108.51,462.51,2550.24,1880.13,0.00
32.6323,25864.14,212.50,730.02,620.01,0.00
33.1263,24521.70,250.00,300.00,340.00,40.00
33.6203,24191.12,1787.62,200.00,310.00,0.00
34.1143,24131.01,175.00,310.00,240.00,0.00
34.6084,23159.36,287.50,220.00,350.00,0.00
35.1024,24752.11,287.50,260.00,400.01,0.00
35.5964,24060.89,350.00,310.00,290.00,0.00
36.0904,24732.07,237.50,230.00,290.00,90.00
36.5844,25172.86,162.50,210.00,350.00,0.00
37.0784,23900.61,112.50,230.00,340.00,0.00
37.5724,24201.13,300.00,32047.57,6251.44,0.00
38.0664,24010.80,100.00,5371.06,460.01,0.00
38.5604,24722.05,162.50,740.02,190.00,0.00
39.0544,23660.20,87.50,470.01,140.00,0.00
39.5484,23780.40,87.50,140.00,250.00,0.00
40.0424,24661.95,100.00,200.00,230.00,0.00
40.5364,24241.20,162.50,200.00,310.00,10.00
41.0304,24491.65,137.50,190.00,220.00,0.00
41.5244,24371.43,112.50,550.01,220.00,0.00
42.0184,24651.93,62.50,140.00,270.00,0.00
42.5124,24451.57,137.50,140.00,280.00,0.00
43.0064,24471.61,75.00,170.00,180.00,0.00
43.5005,24141.03,50.00,140.00,160.00,0.00
43.9944,24651.93,100.00,150.00,150.00,0.00
44.4885,24060.89,75.00,120.00,150.00,0.00
44.9825,24872.32,150.00,200.00,210.00,0.00
45.4765,23539.99,150.00,250.00,200.00,0.00
45.9705,23950.70,175.00,210.00,300.00,0.00
46.4645,24301.31,87.50,160.00,230.00,0.00
46.9585,23650.18,212.50,230.00,130.00,0.00
47.4525,24802.20,62.50,130.00,270.00,20.00
47.9465,24271.25,62.50,140.00,180.00,0.00
48.4405,23650.18,137.50,190.00,140.00,0.00
48.9345,24772.14,25.00,130.00,290.00,0.00
49.4285,23930.66,150.00,150.00,290.00,0.00
49.9225,24782.16,12.50,130.00,430.01,0.00
50.4165,24561.77,37.50,250.00,200.00,0.00
50.9105,24080.92,587.51,230.00,260.00,0.00
51.4045,24882.34,75.00,150.00,160.00,0.00
51.8985,24060.89,25.00,220.00,200.00,0.00
52.3925,24191.12,25.00,290.00,190.00,0.00
52.8865,24561.77,75.00,380.01,150.00,0.00
53.3806,24511.68,50.00,350.00,110.00,0.00
53.8745,24191.12,0.00,160.00,50.00,0.00


          Printed:4/29/2018 9:37:34 AM
