D:\Data\McGill_4wk_ctl_femurhead.b\098SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 11:12:25 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24351.40,12.50,6341.47,5080.95,0.00
1.0160,26665.65,76059.55,2290.19,5761.22,0.00
1.5100,26154.68,83766.60,1250.06,6611.61,50.00
2.0040,26655.63,108387.54,610.01,7061.84,0.00
2.4980,27146.59,128509.57,710.02,11745.08,0.00
2.9920,26214.79,116843.80,900.03,11725.06,10.00
3.4860,27427.14,127449.80,770.02,8652.76,40.00
3.9801,26735.79,122328.64,640.02,11865.19,40.00
4.4741,27116.53,124914.20,550.01,8792.85,0.00
4.9681,27537.36,121080.18,1490.08,8292.53,10.00
5.4621,27296.88,122908.78,690.02,8672.77,0.00
5.9561,27186.67,125822.43,3330.41,6911.76,0.00
6.4501,27737.76,123224.08,840.03,9753.50,0.00
6.9441,26835.98,137243.28,2650.26,10564.11,10.00
7.4381,27026.35,131323.45,550.01,12315.59,10.00
7.9321,27687.66,126566.70,11975.25,16269.75,0.00
8.4261,27717.72,121912.48,1880.13,18352.40,0.00
8.9201,26745.81,115671.46,2730.27,19003.30,0.00
9.4141,27787.86,122833.11,11674.99,10694.21,0.00
9.9081,26635.60,16584.99,31746.87,1870.13,0.00
10.4021,26445.23,3150.36,24371.73,1660.10,0.00
10.8961,27587.46,2275.19,55251.58,640.02,0.00
11.3901,27236.76,4638.28,23410.05,3460.44,0.00
11.8841,27697.68,59440.56,9143.06,14727.99,0.00
12.3781,27457.20,137230.65,1350.07,23941.11,0.00
12.8721,26896.10,122997.06,1960.14,22007.83,0.00
13.3661,26825.96,128547.43,1210.05,16049.49,0.00
13.8602,26805.92,129947.99,1230.06,17040.70,0.00
14.3542,26916.14,114234.54,980.04,13196.41,10.00
14.8482,26996.29,120399.25,1010.04,13887.10,0.00
15.3422,28208.71,128635.75,1180.05,12115.41,0.00
15.8362,27196.69,121256.72,840.03,13076.30,0.00
16.3302,26074.53,127601.19,910.03,12936.16,0.00
16.8242,26335.02,129657.77,700.02,11084.53,0.00
17.3182,27306.90,133721.37,730.02,12275.55,10.00
17.8122,26294.95,132497.12,960.03,13857.07,0.00
18.3062,27447.18,131992.30,820.02,12265.54,0.00
18.8002,25703.84,129556.83,580.01,10684.21,0.00
19.2942,26635.60,131411.78,630.01,8722.80,10.00
19.7882,26154.68,124712.39,510.01,9173.10,10.00
20.2822,26044.47,114121.11,910.03,8232.50,0.00
20.7762,26926.16,126919.94,730.02,9613.40,10.00
21.2702,26835.98,127210.10,530.01,8432.62,10.00
21.7642,26395.14,109748.27,810.02,8642.75,40.00
22.2582,26565.46,106069.59,1400.07,7752.21,30.00
22.7522,26675.68,89590.60,1080.04,8972.97,670.02
23.2463,26134.64,118142.31,98332.85,40430.15,90.00
23.7403,26264.89,44007.73,40540.10,16770.36,10.00
24.2343,26385.12,24571.91,42897.28,13286.50,30.00
24.7283,28008.30,14144.76,34313.07,2710.27,10.00
