D:\Data\McGill_4wk_ctl_femurhead.b\085SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:58:51 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24201.13,12.50,3130.36,4820.86,30.00
1.0160,25353.19,74212.01,980.04,5241.01,0.00
1.5100,26184.74,91402.46,740.02,7452.05,0.00
2.0040,26585.50,110012.87,1020.04,7882.29,10.00
2.4980,25152.83,116465.62,700.02,6791.70,10.00
2.9920,27036.37,121029.74,580.01,7331.98,0.00
3.4860,25834.08,129746.10,500.01,9483.31,0.00
3.9800,26294.95,141991.07,490.01,10574.12,0.00
4.4741,26114.61,139579.09,910.03,10484.05,0.00
4.9681,26174.72,133557.28,670.02,11634.99,10.00
5.4621,27066.43,126024.26,760.02,11204.63,40.00
5.9561,26304.97,128396.02,810.02,10183.82,0.00
6.4501,26254.87,114688.30,1930.14,10403.99,0.00
6.9441,26335.02,120096.62,1090.04,11014.47,0.00
7.4381,26615.56,139212.91,880.03,10744.25,10.00
7.9321,25884.17,116667.32,740.02,9313.20,0.00
8.4261,26825.96,118066.67,3980.58,10373.96,0.00
8.9201,26856.02,119630.08,1570.09,14828.10,0.00
9.4141,25834.08,117562.38,1270.06,18843.08,0.00
9.9081,26395.14,109055.29,2230.18,24972.96,0.00
10.4021,26655.63,81012.69,8862.88,21036.30,0.00
10.8961,26936.18,113957.25,1420.07,17711.55,10.00
11.3901,26264.89,111373.73,2540.24,16299.78,10.00
11.8841,26284.93,111726.59,810.02,17591.40,0.00
12.3781,25623.69,104759.62,1470.08,21276.67,0.00
12.8721,25333.16,110882.29,3810.53,15578.94,0.00
13.3661,25683.80,119226.60,1830.12,18923.19,10.00
13.8601,25794.01,111083.91,1950.14,14257.49,10.00
14.3541,26866.04,114889.97,990.04,10383.97,30.00
14.8482,26104.59,119667.91,1180.05,19814.46,10.00
15.3422,26184.74,106346.72,15388.67,11514.89,0.00
15.8362,25944.29,6651.61,21777.35,1810.12,0.00
16.3302,26745.81,2262.69,28990.75,780.02,0.00
16.8242,26775.87,2037.65,38273.57,1700.11,0.00
17.3182,26805.92,2962.82,45264.91,880.03,0.00
17.8122,26455.25,2300.19,26185.09,1400.07,0.00
18.3062,27206.71,3100.35,18091.98,2230.18,0.00
18.8002,25874.15,67012.72,13026.21,18712.90,0.00
19.2942,26705.73,136624.66,1530.09,21997.82,20.00
19.7882,26475.29,116150.47,1800.12,25734.38,0.00
20.2822,29030.40,125961.18,2190.18,20535.53,0.00
20.7762,26785.89,122152.09,1320.06,17581.38,0.00
21.2702,26365.08,118041.46,810.02,15308.63,0.00
21.7642,26685.69,110101.06,970.03,15819.22,10.00
