D:\Data\McGill_4wk_ctl_femurhead.b\049SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:21:23 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24291.29,0.00,11234.62,1080.04,0.00
1.0161,24782.16,4075.60,820.02,430.01,0.00
1.5101,24752.11,250.00,190.00,460.01,0.00
2.0041,24812.21,612.51,550.01,630.01,0.00
2.4981,25172.86,1062.54,420.01,440.01,0.00
2.9921,23870.56,975.03,410.01,550.01,0.00
3.4861,24551.75,887.53,670.02,730.02,0.00
3.9801,24842.27,1300.06,650.02,520.01,0.00
4.4741,25753.93,750.02,480.01,600.01,0.00
4.9681,24631.89,650.02,300.00,520.01,0.00
5.4621,25172.86,575.01,270.00,520.01,0.00
5.9561,24171.08,650.02,300.00,520.01,10.00
6.4502,24231.19,562.51,560.01,570.01,0.00
6.9441,24651.93,1412.57,4090.61,1930.14,10.00
7.4382,26896.10,962.53,8272.51,1570.09,0.00
7.9322,27567.42,1412.57,15298.57,1700.11,0.00
8.4262,27146.59,30496.24,114286.35,38805.42,110.00
8.9202,27988.26,96033.82,51235.96,30664.62,50.00
9.4142,27968.22,126301.79,2820.29,22428.52,0.00
9.9082,27968.22,140488.26,2060.16,19463.95,20.00
10.4022,26485.31,121105.40,790.02,20164.97,0.00
10.8962,27106.51,128446.49,1130.05,20064.83,0.00
11.3902,26585.50,125065.58,2250.19,17281.00,10.00
11.8842,28068.42,135816.73,11444.79,12315.59,10.00
12.3782,27146.59,62177.61,14617.82,6681.64,0.00
12.8722,28348.99,57306.54,12415.64,4690.81,0.00
13.3662,26595.52,24947.59,27056.78,8672.77,0.00
13.8602,27757.80,103777.22,2370.21,23289.97,210.00
14.3542,27637.56,126188.25,1210.05,20124.91,0.00
14.8482,26264.89,104331.39,2780.28,20134.93,0.00
15.3422,27326.94,126314.39,3760.52,21737.40,0.00
15.8362,27086.47,40923.24,34724.10,2520.23,0.00
16.3302,27577.44,3100.35,27798.27,1510.08,0.00
16.8242,27998.28,2212.68,26134.99,1460.08,0.00
17.3183,27076.45,1600.09,23700.55,1490.08,0.00
17.8123,27286.86,2100.16,27267.20,1800.12,0.00
18.3063,27707.70,2200.18,26084.89,1660.10,0.00
18.8003,27667.62,2012.65,32448.52,1250.06,0.00
19.2943,27136.57,2100.16,41663.47,680.02,0.00
19.7883,28399.10,1937.64,85194.99,630.01,0.00
20.2823,26745.81,1662.60,21717.26,690.02,0.00
20.7763,26234.83,2225.18,41623.35,750.02,0.00
21.2703,27727.74,49877.70,21607.08,12455.72,10.00
21.7643,27557.40,147245.84,4240.66,15058.35,10.00
22.2583,28459.22,130048.94,1730.11,17921.83,10.00
22.7523,31415.60,121319.77,770.02,12285.56,0.00
23.2463,27106.51,113138.04,1290.06,20415.35,0.00
23.7403,26916.14,126730.69,550.01,16179.64,0.00
24.2343,26204.78,127298.40,770.02,16339.83,0.00
24.7283,27226.75,106006.61,15929.29,7922.31,10.00
25.2223,28028.34,6213.90,32628.94,940.03,0.00
25.7163,26254.87,3137.86,28960.68,1330.07,0.00
26.2104,27537.36,2237.68,22408.37,2560.24,0.00
26.7043,29220.81,2575.24,23199.69,2060.16,0.00
27.1984,27326.94,1587.59,12375.61,1780.12,0.00
27.6924,28078.44,2100.16,23720.59,930.03,10.00
28.1864,28399.10,52788.53,23810.74,15548.90,0.00
28.6804,28308.91,123577.22,9403.24,20846.00,10.00
29.1744,27617.52,89741.58,46800.07,6791.70,0.00
29.6684,28038.36,34305.19,38624.56,5000.92,10.00
30.1624,27397.08,29005.53,41864.09,6611.61,0.00
30.6564,28188.67,77919.91,12735.94,16580.12,0.00
31.1504,30543.65,144997.16,5190.99,9643.43,0.00
31.6444,31415.60,125494.45,3580.47,7642.15,0.00
32.1384,33049.40,55235.60,6201.41,1110.05,0.00
32.6324,37209.94,20715.58,3600.47,1990.15,0.00
33.1264,35986.71,137356.90,2500.23,2220.18,0.00
33.6204,32006.96,145262.44,1210.05,1780.12,0.00
34.1144,32437.96,119932.71,3520.45,770.02,0.00
34.6084,27246.78,8490.12,2910.31,940.03,0.00
35.1024,31816.52,45500.07,3070.35,1600.09,0.00
35.5964,32177.35,42603.33,2890.31,1990.15,0.00
36.0905,30884.41,112495.30,1770.11,1410.07,0.00
36.5844,29862.17,46177.32,1820.12,1160.05,30.00
37.0785,31195.10,91679.29,1000.04,1170.05,90.00
37.5725,31104.90,60407.25,1100.04,1410.07,10.00
38.0665,31956.84,69562.83,3090.35,1600.09,0.00
38.5605,32047.05,144453.99,830.03,2370.21,30.00
39.0545,30683.96,73194.08,950.03,1150.05,0.00
39.5485,30082.65,74878.10,510.01,1780.12,10.00
40.0425,32878.99,141751.11,730.02,2620.25,0.00
40.5365,31766.40,111272.93,510.01,2370.21,0.00
41.0305,29982.43,108122.98,410.01,1340.07,10.00
41.5245,27938.16,19926.91,530.01,920.03,0.00
42.0185,32207.42,74626.74,530.01,1430.08,0.00
42.5125,31545.90,93025.78,720.02,1350.07,0.00
43.0065,30202.91,76185.24,570.01,1230.06,0.00
43.5005,30082.65,88533.80,700.02,1070.04,0.00
43.9945,31034.75,15633.87,530.01,500.01,0.00
44.4885,27166.63,19864.32,600.01,1140.05,0.00
44.9825,31806.49,129910.13,760.02,1540.09,0.00
45.4765,30343.21,72553.20,680.02,2070.16,10.00
45.9706,32959.19,106447.50,900.03,1670.10,0.00
46.4646,30683.96,62416.19,820.02,2030.15,10.00
46.9586,31756.38,121420.66,680.02,3620.48,0.00
47.4526,32458.00,108639.52,2150.17,3520.46,30.00
47.9466,29932.32,54093.58,3910.56,19453.94,10.00
48.4406,32417.91,129506.35,22057.80,72975.74,50.00
48.9346,30904.46,22919.06,21947.63,14798.07,0.00
49.4286,31756.38,2937.81,7632.13,2770.28,0.00
49.9226,29331.04,762.52,4180.64,1430.08,0.00
50.4166,24141.03,250.00,330.00,580.01,0.00
50.9106,24471.61,387.51,160.00,350.00,0.00
51.4046,25212.94,237.50,420.01,350.00,0.00
51.8986,24581.80,275.00,300.00,250.00,0.00
52.3926,25393.27,137.50,190.00,220.00,0.00
52.8866,24712.04,1100.04,250.00,470.01,0.00
53.3806,24141.03,175.00,370.00,180.00,0.00
53.8746,24772.14,25.00,510.01,100.00,0.00


          Printed:4/29/2018 10:22:20 AM
