D:\Data\McGill_4wk_ctl_femurhead.b\092SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 11:06:09 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24912.39,0.00,2030.15,4460.73,10.00
1.0160,25633.71,69600.51,1090.04,5841.26,0.00
1.5100,25613.67,84596.65,920.03,9603.40,20.00
2.0040,25874.15,112419.69,1940.14,9773.52,20.00
2.4980,26695.71,115797.51,650.02,9823.56,10.00
2.9920,27196.69,133229.13,670.02,8242.50,50.00
3.4860,26565.46,109357.68,980.04,11054.50,0.00
3.9800,26555.44,120537.95,1230.06,11234.65,0.00
4.4740,26074.53,133203.88,850.03,10814.31,0.00
4.9680,26685.69,123905.15,840.03,11604.96,0.00
5.4620,26345.04,115116.85,650.02,12075.37,0.00
5.9560,25924.25,133658.25,820.02,10934.40,0.00
6.4501,25102.74,109269.47,700.02,9743.50,0.00
6.9441,26304.97,115394.16,850.03,9023.00,10.00
7.4381,25924.25,133203.88,1140.05,11494.87,0.00
7.9321,26996.29,114927.77,440.01,15308.63,0.00
8.4261,27046.39,132068.02,400.01,17020.67,10.00
8.9201,27557.40,125343.08,1520.08,12796.03,0.00
9.4141,27527.34,115910.96,690.02,11034.49,0.00
9.9081,28499.30,120399.25,2090.16,15478.82,0.00
10.4021,26545.42,129115.20,660.02,10454.03,0.00
10.8961,26645.61,131790.38,630.01,13026.25,0.00
11.3901,25683.80,131184.63,720.02,20124.91,0.00
11.8841,26204.78,113780.80,730.02,18382.44,10.00
12.3781,26455.25,43380.75,49068.02,2520.23,10.00
12.8721,26495.33,3312.90,35506.11,3010.33,0.00
13.3661,26445.23,3150.36,23710.57,3510.45,0.00
13.8601,27006.32,2187.67,15248.51,2680.26,0.00
14.3541,26946.20,1925.13,40981.42,1670.10,20.00
14.8481,28759.84,39005.19,39757.80,10373.96,0.00
15.3421,27176.65,107404.89,3050.34,23931.09,0.00
15.8361,26555.44,118117.10,1210.05,17120.80,10.00
16.3302,26665.65,137154.90,3730.51,18452.54,0.00
16.8242,26695.71,126200.86,1200.05,18803.02,0.00
17.3182,26264.89,129632.53,790.02,14167.39,20.00
17.8122,25994.38,117461.53,720.02,14167.39,0.00
18.3062,25503.47,133241.75,890.03,15098.40,0.00
18.8002,25894.19,125153.87,730.02,21747.42,10.00
19.2942,26645.61,127929.21,890.03,20305.18,10.00
19.7882,26174.72,122152.09,610.01,16860.47,0.00
20.2822,27006.32,116755.56,1340.07,15679.05,10.00
20.7762,37600.99,114398.39,1410.07,15048.34,30.00
21.2702,26124.62,120159.67,1450.08,15078.37,10.00
21.7642,27487.26,119907.47,2940.32,11705.05,0.00
22.2582,26996.29,116679.92,830.03,13466.68,0.00
22.7522,26785.89,130806.06,950.03,14197.42,20.00
23.2462,26585.50,124472.73,770.02,13556.77,10.00
23.7402,26976.25,141599.56,1080.04,13046.27,40.00
24.2342,27196.69,127197.48,1630.10,16660.22,0.00
24.7282,27026.35,128812.38,2020.15,15618.99,40.00
25.2222,27377.04,131727.29,920.03,14868.14,30.00
25.7162,26966.23,130061.55,1780.12,13616.83,20.00
26.2103,27427.14,114423.60,1050.04,17250.96,10.00
26.7043,26735.79,134365.09,1330.06,15809.21,40.00
27.1983,27567.42,141359.62,1430.07,14657.91,10.00
27.6923,27437.16,127475.03,4800.84,11755.09,20.00
28.1863,28819.97,134087.41,1350.07,10183.82,30.00
28.6803,27397.08,107707.24,2210.18,9683.45,20.00
29.1743,27116.53,137167.53,2270.19,17180.87,0.00
29.6683,26575.48,129279.24,1780.12,27387.61,40.00
30.1623,27306.90,120046.18,2850.30,23370.11,30.00
30.6563,27206.71,132219.46,2220.18,24401.92,40.00
31.1503,26775.87,121546.77,1530.09,22358.41,20.00
31.6443,25984.36,137773.54,1280.06,21246.62,30.00
32.1383,26866.04,131790.38,1980.14,22979.44,40.00
32.6323,27938.16,145679.30,5851.25,14647.90,10.00
33.1263,27717.72,135046.71,1690.10,19463.95,40.00
33.6203,26835.98,117045.51,13376.55,19574.11,0.00
34.1143,30744.10,63483.55,5851.25,2220.18,0.00
34.6083,32828.88,5013.41,3610.48,1660.10,10.00
35.1023,32468.03,33465.63,9253.13,3640.49,10.00
35.5963,31335.42,121912.48,10894.34,5160.98,0.00
36.0904,28118.52,136675.16,1940.14,3130.36,0.00
36.5844,28799.92,118797.93,1310.06,3610.48,0.00
37.0784,28980.30,46704.10,730.02,920.03,0.00
37.5724,28449.20,22919.06,720.02,1760.11,0.00
38.0664,31906.72,87590.29,670.02,2190.18,10.00
38.5604,30563.70,129708.24,640.02,3070.35,0.00
39.0544,31515.83,52525.02,830.03,1980.14,0.00
39.5484,32147.28,119907.47,810.02,2010.15,0.00
40.0424,30413.37,74501.06,840.03,3900.56,0.00
40.5364,30222.95,122328.64,500.01,4420.72,0.00
41.0304,29832.11,84848.20,820.02,3790.53,0.00
41.5244,31305.35,131765.14,710.02,8362.58,30.00
42.0184,30343.21,114385.79,4040.60,23991.19,70.00
42.5124,32147.28,88546.38,18792.92,21466.97,40.00
43.0064,30072.63,11642.42,5080.95,1560.09,0.00
43.5004,31686.22,1737.61,4810.85,640.02,10.00
43.9944,30012.49,637.51,2910.31,380.01,0.00
44.4884,25964.32,475.01,1750.11,600.01,0.00
44.9824,29030.40,812.52,3360.41,660.02,10.00
45.4764,26465.27,112.50,350.00,270.00,0.00
45.9705,24591.82,87.50,220.00,200.00,0.00
46.4645,24191.12,225.00,9893.58,590.01,0.00
46.9585,28549.41,487.51,4360.70,740.02,0.00
47.4525,29771.98,850.03,4860.87,910.03,0.00
47.9465,29551.51,737.52,7882.27,710.02,0.00
48.4405,27797.88,537.51,35135.15,780.02,0.00
48.9345,27497.28,312.50,3370.42,400.01,0.00
49.4285,25363.21,37.50,670.02,320.00,0.00
49.9225,25202.92,137.50,450.01,240.00,0.00
50.4165,24000.79,87.50,450.01,240.00,0.00
50.9105,24792.18,125.00,820.02,650.02,0.00
51.4045,26876.06,825.02,7001.79,1260.06,0.00
51.8985,28890.11,950.03,4850.86,1250.06,0.00
52.3925,29802.04,875.03,4210.65,1010.04,0.00
52.8865,30393.32,775.02,5401.07,1220.05,0.00
53.3805,30002.47,875.03,7662.15,1160.05,0.00
53.8745,29100.55,550.01,560.01,150.00,0.00


          Printed:4/29/2018 11:07:06 AM
