D:\Data\McGill_4wk_ctl_femurhead.b\019SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 9:50:09 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24331.36,37.50,270.00,370.01,0.00
1.0160,24511.68,112.50,180.00,350.00,0.00
1.5100,23960.72,512.51,260.00,320.00,0.00
2.0040,25904.21,537.51,5611.15,7412.02,10.00
2.4980,27647.58,1187.55,7402.01,8162.45,20.00
2.9920,29210.78,875.03,7772.21,6941.78,10.00
3.4860,30313.15,900.03,8142.43,5401.07,10.00
3.9801,25513.49,800.02,550.01,710.02,0.00
4.4741,25202.92,387.51,310.00,420.01,0.00
4.9681,24571.78,375.01,270.00,350.00,0.00
5.4621,24932.43,275.00,180.00,110.00,0.00
5.9561,25182.88,437.51,330.00,860.03,0.00
6.4501,25142.81,2187.67,8122.42,3290.40,0.00
6.9441,30774.16,1925.13,22949.27,1680.10,10.00
7.4381,33249.88,1875.13,18602.66,4690.81,50.00
7.9321,33340.09,45550.24,41633.38,82369.29,70.00
8.4261,31275.29,111915.60,8752.80,36809.87,30.00
8.9201,29641.70,86734.90,4560.76,11164.59,10.00
9.4141,28789.90,98274.56,1930.14,6981.80,10.00
9.9081,28469.24,73633.92,4640.79,6191.41,10.00
10.4021,29802.04,136069.20,3310.40,6601.61,10.00
10.8961,31215.15,152477.33,6721.65,5110.96,10.00
11.3901,34683.39,45048.59,3730.51,2730.27,10.00
11.8841,37009.40,19926.91,2830.29,1140.05,10.00
12.3781,37079.59,19976.99,2730.27,4320.69,0.00
12.8721,39275.63,18499.92,3430.43,1680.10,0.00
13.3661,39466.17,73357.45,2730.27,6671.64,0.00
13.8602,37380.39,74488.50,2750.28,10794.29,30.00
14.3542,34954.07,112167.64,810.02,4670.80,0.00
14.8482,34673.36,128118.46,3050.34,11675.02,0.00
15.3422,32417.91,84923.66,24672.27,6181.41,0.00
15.8362,32077.12,66158.60,7392.00,5311.04,0.00
16.3302,36377.73,75368.27,3210.38,4150.63,0.00
16.8242,35044.30,83414.47,1930.14,4340.69,0.00
17.3182,34673.36,23495.04,5591.14,1540.09,0.00
17.8122,38012.11,34392.91,5771.22,2900.31,0.00
18.3062,33380.19,96222.64,4010.59,3610.48,10.00
18.8002,34753.56,98085.72,3680.50,3400.43,0.00
19.2942,32087.14,104621.07,6921.75,3030.34,0.00
19.7882,32117.21,61399.13,13857.03,3990.59,0.00
20.2822,34472.87,60018.06,4670.80,2150.17,0.00
20.7762,35475.39,58247.97,5210.99,2180.18,0.00
21.2702,37290.15,27540.02,5341.04,1620.10,0.00
21.7642,41762.89,32789.01,3440.43,1510.08,0.00
22.2582,37751.40,40885.63,10263.86,1870.13,0.00
22.7522,36397.78,59566.10,4100.62,1930.14,0.00
23.2463,33390.22,103903.16,2190.18,2570.24,0.00
23.7403,33289.98,130377.02,3040.34,1800.12,0.00
24.2343,30954.57,84659.54,1530.09,1450.08,0.00
24.7283,29130.61,46139.70,1640.10,970.03,0.00
25.2223,29080.51,56478.13,1570.09,1270.06,0.00
25.7163,30072.63,135652.63,790.02,1880.13,0.00
26.2103,31716.29,105603.53,960.03,1420.07,0.00
26.7043,30543.65,86370.11,930.03,1090.04,0.00
27.1983,28729.78,71460.01,1020.04,1840.12,0.00
27.6923,30363.26,98375.27,740.02,1380.07,0.00
28.1863,31004.68,113667.37,480.01,1620.10,0.00
28.6803,30764.14,123804.25,630.01,1740.11,0.00
29.1743,28910.15,51245.21,740.02,1380.07,0.00
29.6683,29741.91,53779.85,900.03,1110.05,0.00
30.1623,29942.34,92975.44,470.01,3080.35,0.00
30.6563,30623.83,110718.48,640.02,2830.30,10.00
31.1503,29701.83,120878.42,310.00,2300.19,0.00
31.6443,29591.59,125645.82,550.01,3270.39,0.00
32.1383,29391.16,126503.63,640.02,1960.14,10.00
32.6324,29120.59,27352.15,900.03,2310.20,0.00
33.1264,30714.03,94938.77,660.02,2710.27,0.00
33.6204,30884.41,134327.22,670.02,2880.31,0.00
34.1144,30423.39,92119.71,380.01,1990.15,0.00
34.6084,28509.32,108148.17,690.02,3610.48,10.00
35.1024,30343.21,98929.22,1090.04,4350.70,0.00
35.5964,29892.24,112306.26,360.00,3040.34,10.00
36.0904,30182.86,121307.17,1120.05,6731.67,0.00
36.5844,29270.91,114272.35,380.01,6651.63,0.00
37.0784,28028.34,104961.15,300.00,9963.66,40.00
37.5724,28990.32,107745.02,19844.41,56366.84,10.00
38.0664,30293.11,10378.91,5681.18,2310.20,10.00
38.5604,30132.76,1350.07,3110.35,780.02,0.00
39.0544,30022.52,1125.05,1090.04,730.02,0.00
39.5484,28880.09,912.53,2690.27,800.02,10.00
40.0424,29892.24,950.03,10083.72,910.03,10.00
40.5364,28318.93,1100.04,3650.49,1360.07,0.00
41.0304,27477.24,675.02,4610.78,2080.16,10.00
41.5244,28399.10,475.01,2170.17,3560.47,0.00
42.0184,27397.08,512.51,3380.42,5321.04,0.00
42.5124,27707.70,500.01,1380.07,1090.04,10.00
43.0065,25854.12,200.00,440.01,250.00,0.00
43.5005,24992.54,125.00,210.00,250.00,10.00
43.9945,24912.39,212.50,180.00,220.00,0.00
44.4885,25333.16,87.50,230.00,220.00,10.00
44.9825,24902.38,175.00,280.00,180.00,30.00
45.4765,25673.78,187.50,160.00,250.00,0.00
45.9705,25573.60,137.50,280.00,250.00,0.00
46.4645,24371.43,575.01,280.00,240.00,0.00
46.9585,24912.39,162.50,280.00,250.00,0.00
47.4525,24571.78,150.00,80.00,270.00,0.00
47.9465,24892.36,87.50,150.00,220.00,0.00
48.4405,25152.83,125.00,200.00,210.00,0.00
48.9345,24862.30,112.50,130.00,280.00,0.00
49.4285,24792.18,125.00,230.00,580.01,10.00
49.9225,25363.21,200.00,140.00,220.00,0.00
50.4165,25343.18,137.50,180.00,240.00,0.00
50.9105,24351.40,50.00,350.00,310.00,40.00
51.4045,24401.48,62.50,170.00,440.01,10.00
51.8985,24441.55,37.50,120.00,100.00,0.00
52.3925,25633.71,125.00,270.00,100.00,0.00
52.8865,24010.80,87.50,810.02,120.00,0.00
53.3806,24391.47,37.50,220.00,970.03,0.00
53.8746,24201.13,75.00,160.00,310.00,0.00


          Printed:4/29/2018 9:51:06 AM
