D:\Data\McGill_4wk_ctl_femurhead.b\088SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 11:01:59 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24581.80,12.50,2650.26,3790.53,10.00
1.0160,25443.36,77593.07,1720.11,9043.01,20.00
1.5100,26795.91,19588.93,18822.97,2560.24,0.00
2.0040,25954.30,40572.20,5721.20,17891.79,80.00
2.4980,27126.55,122240.37,1150.05,8512.67,20.00
2.9920,26074.53,123690.74,940.03,10454.03,10.00
3.4860,26515.37,129077.35,1240.06,7882.29,0.00
3.9800,26765.85,124586.26,660.02,9193.11,10.00
4.4740,25743.91,126402.70,580.01,8202.48,0.00
4.9681,25934.27,117789.31,2100.16,7922.31,10.00
5.4620,26274.91,103034.17,890.03,9903.61,0.00
5.9561,27096.49,130414.87,3680.50,9783.53,0.00
6.4501,27036.37,89842.23,4630.79,9263.16,10.00
6.9441,26495.33,104432.14,3110.35,12966.19,0.00
7.4381,26966.23,117852.35,1250.06,10564.11,0.00
7.9321,27176.65,120752.32,950.03,12705.95,0.00
8.4261,25493.45,112696.94,1050.04,13116.34,0.00
8.9201,26505.35,118028.85,1050.04,15929.35,0.00
9.4141,25723.88,120941.47,820.02,15799.19,0.00
9.9081,24351.40,96109.35,4500.74,12936.16,0.00
10.4021,26445.23,104205.43,2220.18,10714.23,0.00
10.8961,25874.15,103877.98,2460.22,13586.80,0.00
11.3901,25894.19,108992.30,1040.04,15568.93,10.00
11.8841,27186.67,119529.21,1670.10,15879.29,10.00
12.3781,27928.14,109067.89,1810.12,18072.03,0.00
12.8721,26024.44,104066.90,3910.56,18953.23,10.00
13.3661,25834.08,115822.73,1300.06,16700.27,10.00
13.8601,26314.98,117864.96,2290.19,18602.74,0.00
14.3541,25934.27,35621.03,20164.88,2010.15,0.00
14.8481,25984.36,2450.22,55492.55,1210.05,0.00
15.3421,26505.35,2512.73,22859.12,1170.05,0.00
15.8362,26304.97,1975.14,25233.30,1020.04,0.00
16.3302,27377.04,1950.14,18762.88,710.02,0.00
16.8242,25152.83,23307.21,23169.64,5691.19,0.00
17.3182,27256.80,87464.49,5771.22,17521.31,10.00
17.8122,26104.59,128673.60,1160.05,14627.88,0.00
18.3062,25904.21,126882.08,850.03,14437.68,0.00
18.8002,26525.39,119150.95,1060.04,14838.11,0.00
19.2942,26615.56,118634.02,570.01,11404.79,0.00
19.7882,25723.88,120588.39,1350.07,16980.62,0.00
20.2822,25934.27,132459.26,1060.04,19103.44,0.00
20.7762,27306.90,110983.11,3380.42,17881.78,0.00
21.2702,26254.87,119592.25,2990.33,19483.98,0.00
21.7642,25874.15,110353.07,4810.85,18462.55,0.00
22.2582,26435.21,80358.88,10844.31,7752.21,0.00
22.7522,26535.40,56227.10,15108.35,5291.03,0.00
23.2462,27336.96,32776.47,11955.23,6451.53,0.00
23.7402,26104.59,33089.73,15709.03,4180.64,0.00
24.2342,25523.51,6576.57,21206.46,1420.07,0.00
24.7282,26505.35,2025.15,31325.90,1020.04,0.00
25.2222,26224.81,2037.65,27367.40,1470.08,0.00
25.7163,26515.37,2137.67,48225.02,1200.05,0.00
26.2103,25884.17,2612.75,19844.41,1540.09,20.00
26.7043,27016.34,1412.57,38955.50,2330.20,20.00
27.1983,27256.80,19864.32,29050.88,8642.75,0.00
27.6923,27036.37,104747.02,3050.34,17871.76,10.00
28.1863,27006.32,132787.39,1400.07,17010.66,0.00
28.6803,26284.93,133582.53,850.03,16800.40,0.00
29.1743,27397.08,114247.15,17951.79,5471.10,20.00
29.6683,26936.18,4650.79,38173.29,1800.12,0.00
30.1623,27106.51,2062.65,36538.83,690.02,0.00
30.6563,27106.51,2275.19,33180.27,1000.04,0.00
31.1503,28359.01,2487.72,54478.48,1630.10,0.00
31.6443,28539.39,2125.16,35746.74,1690.11,0.00
32.1383,26886.08,1700.10,48907.44,790.02,0.00
32.6323,26114.61,712.52,52641.29,9513.33,1140.05
33.1263,42334.63,9565.82,35064.97,1170.05,10.00
33.6203,27647.58,15083.26,25884.51,2330.20,40.00
34.1143,27617.52,23194.53,34724.10,9193.11,10.00
34.6083,30794.21,70291.51,11444.79,12575.83,0.00
35.1023,32037.02,17961.71,7051.82,1150.05,0.00
35.5964,36317.57,25260.66,6351.48,2320.20,0.00
36.0904,31275.29,122782.66,2980.33,3150.37,10.00
