D:\Data\McGill_4wk_ctl_femurhead.b\066SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:39:05 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24671.96,0.00,2860.30,1100.04,0.00
1.0161,24461.59,275.00,920.03,880.03,10.00
1.5101,24872.32,625.01,630.01,1030.04,0.00
2.0041,24171.08,1312.56,470.01,800.02,10.00
2.4981,24161.06,1600.09,830.03,630.01,0.00
2.9921,24451.57,1100.04,440.01,740.02,0.00
3.4861,24862.30,1162.55,930.03,1520.09,0.00
3.9801,25653.75,1212.55,10053.70,1750.11,0.00
4.4741,27547.38,900.03,11104.51,1360.07,10.00
4.9681,27256.80,9115.52,182653.71,33461.21,130.00
5.4621,27437.16,58712.45,229930.00,100853.47,210.00
5.9561,27537.36,99369.88,15919.28,55453.09,50.00
6.4502,26375.10,128888.09,2280.19,25473.89,20.00
6.9441,27387.06,124699.78,1380.07,10924.40,10.00
7.4382,26224.81,115734.49,830.03,8972.97,0.00
7.9322,25753.93,116125.26,850.03,22488.62,0.00
8.4262,26214.79,114688.30,630.01,15729.11,0.00
8.9202,27847.98,111046.11,640.02,11394.78,10.00
9.4142,25353.19,116125.26,660.02,10654.18,0.00
9.9082,26655.63,112633.93,500.01,9413.26,0.00
10.4022,26705.73,123034.89,890.03,11074.52,0.00
10.8962,26274.91,116831.20,990.04,12185.47,10.00
11.3902,26375.10,105792.47,9103.03,9453.29,0.00
11.8842,26785.89,10916.83,27507.69,1030.04,0.00
12.3782,27306.90,13231.36,16069.45,4440.73,0.00
12.8722,27457.20,94410.15,2470.22,13817.03,0.00
13.3662,26274.91,110453.87,1560.09,17521.31,0.00
13.8602,26325.00,106397.11,1800.12,16079.52,0.00
14.3542,27106.51,109660.06,1340.07,15098.40,0.00
14.8482,27326.94,124901.60,11855.15,11735.07,0.00
15.3422,26024.44,46729.18,30494.02,5811.24,20.00
15.8362,27076.45,14632.77,55673.28,2800.29,0.00
16.3302,28298.89,2550.24,40991.44,2460.22,0.00
16.8242,27056.41,10153.74,27247.16,11815.14,10.00
17.3183,27016.34,93780.87,6901.74,16530.06,0.00
17.8123,26204.78,123804.25,2930.31,27578.00,10.00
18.3063,26154.68,125242.18,6201.41,18482.58,10.00
18.8003,26104.59,127197.48,1240.06,19884.56,20.00
19.2943,26795.91,115457.18,860.03,15138.44,10.00
19.7883,26114.61,43844.72,22338.26,1680.10,0.00
20.2823,25884.17,2637.75,33932.11,1010.04,10.00
20.7763,26485.31,2712.77,22268.14,2480.23,0.00
21.2703,27186.67,2337.70,16419.87,2130.17,0.00
21.7643,27427.14,48573.05,10854.31,12936.16,20.00
22.2583,27146.59,119794.00,3120.36,17541.33,10.00
22.7523,26034.46,118419.68,11404.76,22628.85,0.00
23.2463,27126.55,69763.84,49078.05,13306.52,10.00
23.7403,27707.70,85741.20,14677.89,25193.37,0.00
24.2343,26104.59,93994.82,6641.61,30704.70,0.00
24.7283,26876.06,144087.69,7181.89,27798.45,0.00
25.2223,27457.20,125368.31,1560.09,19784.41,0.00
25.7163,26896.10,129607.29,1010.04,12105.40,0.00
26.2104,27036.37,106208.16,4010.59,18182.18,0.00
26.7043,27837.96,114990.80,1840.12,12305.58,0.00
27.1984,27537.36,95404.47,2880.30,13947.17,0.00
27.6924,28218.73,121975.54,1260.06,22298.31,0.00
28.1864,28098.48,61637.69,19984.62,3740.52,0.00
28.6804,27076.45,3187.87,28058.80,1770.12,0.00
29.1744,26325.00,2412.71,21567.02,1460.08,0.00
29.6684,27106.51,2387.71,20234.98,1610.10,0.00
30.1624,27296.88,2562.74,29030.83,2040.15,0.00
30.6564,27847.98,2225.18,26255.22,880.03,0.00
31.1504,26395.14,1212.55,27647.97,540.01,0.00
31.6444,27998.28,1587.59,26916.51,650.02,0.00
32.1384,27607.50,10854.28,31666.68,12836.07,0.00
32.6324,27296.88,121584.60,3200.38,20235.08,0.00
33.1264,27146.59,116944.66,14697.91,7392.01,0.00
33.6204,26585.50,7777.20,27998.68,2350.20,0.00
34.1144,29030.40,3375.41,68722.53,1890.13,0.00
34.6084,28168.63,24759.75,51778.00,8802.85,0.00
35.1024,30283.08,78649.04,10814.28,14677.93,0.00
35.5964,34061.85,86848.11,7572.10,3470.44,0.00
36.0905,31455.69,7814.72,3700.50,680.02,0.00
36.5844,34111.97,3587.97,4080.61,280.00,0.00
37.0785,34693.42,3450.43,6741.66,660.02,0.00
37.5725,35425.26,55888.23,5391.06,1250.06,0.00
38.0665,33590.70,88496.05,1100.04,1570.09,0.00
38.5605,32147.28,150139.35,650.02,2480.23,0.00
39.0545,31064.81,101925.97,1010.04,2010.15,0.00
39.5485,31405.58,122215.14,400.01,1240.06,0.00
40.0425,28870.07,10091.20,240.00,490.01,0.00
