D:\Data\McGill_4wk_ctl_femurhead.b\035SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:06:48 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,23870.56,12.50,3400.42,340.00,0.00
1.0160,24621.87,325.00,470.01,200.00,0.00
1.5100,23960.72,687.52,360.00,780.02,0.00
2.0041,23950.70,1575.09,610.01,550.01,0.00
2.4981,24732.07,612.51,520.01,550.01,0.00
2.9921,24241.20,662.52,490.01,380.01,0.00
3.4861,23960.72,525.01,530.01,420.01,0.00
3.9801,24291.29,575.01,650.02,450.01,0.00
4.4741,24511.68,550.01,490.01,340.00,0.00
4.9681,24722.05,525.01,340.00,290.00,0.00
5.4621,23900.61,462.51,320.00,400.01,0.00
5.9561,25273.05,275.00,430.01,460.01,0.00
6.4501,24641.91,737.52,9993.66,3290.40,0.00
6.9441,26174.72,1125.05,18532.57,2030.15,10.00
7.4381,26254.87,950.03,14277.46,1580.09,10.00
7.9321,26545.42,800.02,14727.94,1010.04,0.00
8.4261,28459.22,1100.04,29281.37,950.03,20.00
8.9201,27086.47,1012.54,44482.35,970.03,10.00
9.4141,26004.40,18049.33,135973.76,53565.53,100.00
9.9081,26074.53,122656.55,24662.26,23670.63,50.00
10.4021,27507.30,132219.46,2970.32,11044.49,0.00
10.8961,27216.73,131071.06,860.03,13396.61,0.00
11.3902,27086.47,132295.19,680.02,13286.50,0.00
11.8842,27156.61,136321.69,850.03,22849.23,0.00
12.3782,26585.50,134289.36,690.02,15168.47,0.00
12.8722,27567.42,143746.65,1530.09,13056.28,0.00
13.3662,27918.12,144858.21,770.02,14557.81,0.00
13.8602,25773.97,139111.89,17060.65,7091.85,0.00
14.3542,26124.62,4913.38,53785.74,1200.05,0.00
14.8482,27387.06,3137.86,30273.52,1250.06,0.00
15.3422,27407.10,1850.12,18802.94,1470.08,0.00
15.8362,26745.81,2100.16,44743.20,1660.10,0.00
16.3302,27236.76,2125.16,35375.77,950.03,0.00
16.8242,26856.02,1725.11,40760.75,1370.07,0.00
17.3182,28188.67,1950.14,21006.15,1680.10,0.00
17.8122,27246.78,2325.20,21116.32,1290.06,0.00
18.3062,27727.74,2575.24,24582.11,5751.22,10.00
18.8002,26996.29,90131.62,9513.31,22989.46,0.00
19.2942,26254.87,131172.01,1690.10,21887.64,20.00
19.7882,26555.44,101938.56,12795.99,6901.75,0.00
20.2822,24702.02,4363.19,1340.07,720.02,0.00
20.7762,24681.98,1112.54,760.02,300.00,0.00
21.2703,23820.48,825.02,370.00,250.00,0.00
21.7643,24391.47,575.01,250.00,390.01,0.00
22.2583,24661.95,400.01,470.01,270.00,0.00
22.7523,24792.18,412.51,390.01,290.00,0.00
23.2463,25904.21,2587.74,95472.65,1850.13,0.00
23.7403,29290.95,2037.65,126755.70,1390.07,0.00
24.2343,29431.25,3362.91,69365.77,1390.07,0.00
24.7283,28579.47,2462.72,30012.95,820.02,0.00
25.2223,26194.76,1175.05,12095.36,960.03,0.00
25.7163,26635.60,2412.71,28629.99,2060.16,0.00
26.2103,29661.74,5976.30,71225.31,5561.14,0.00
26.7043,29160.68,46465.79,47753.37,3230.38,0.00
27.1983,26635.60,5188.48,52229.71,1810.12,0.00
27.6923,28098.48,56628.74,27968.62,21987.80,0.00
28.1863,29471.34,127828.27,3730.51,12485.74,0.00
28.6803,29391.16,121962.92,1480.08,6981.80,0.00
29.1743,31836.56,117070.72,4590.77,3800.53,0.00
29.6683,34132.02,66937.36,3260.39,1770.12,10.00
30.1623,32949.16,88647.02,2530.23,1500.08,0.00
30.6563,31926.77,80296.01,2910.31,2070.16,10.00
31.1503,31225.17,137445.28,1670.10,1900.13,10.00
31.6444,28038.36,11217.07,2170.17,710.02,0.00
32.1384,30714.03,51483.59,820.02,1390.07,0.00
32.6324,31425.63,121307.17,1820.12,1610.10,0.00
33.1264,31465.72,78209.05,1830.12,950.03,0.00
33.6204,30804.23,106371.91,740.02,1650.10,0.00
34.1144,27547.38,26475.44,620.01,1340.07,20.00
34.6084,31054.79,83791.75,790.02,2140.17,0.00
35.1024,30232.98,108488.33,590.01,2050.15,0.00
35.5964,29521.44,89011.87,560.01,1810.12,0.00
36.0904,32578.28,120739.71,950.03,2170.17,10.00
