D:\Data\McGill_4wk_ctl_femurhead.b\054SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:26:35 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24601.84,0.00,3130.36,670.02,0.00
1.0161,24591.82,1425.07,340.00,390.01,0.00
1.5101,24201.13,312.50,290.00,210.00,0.00
2.0041,24381.45,600.01,350.00,550.01,0.00
2.4981,25232.97,650.02,580.01,450.01,0.00
2.9921,23509.94,600.01,620.01,500.01,0.00
3.4861,24151.05,687.52,390.01,660.02,0.00
3.9801,24030.84,712.52,290.00,520.01,0.00
4.4741,24651.93,862.53,390.01,400.01,0.00
4.9681,23279.56,1037.54,410.01,770.02,0.00
5.4622,25513.49,612.51,270.00,570.01,0.00
5.9562,25303.10,487.51,670.02,630.01,10.00
6.4502,25142.81,662.52,3240.38,1150.05,0.00
6.9442,26545.42,1100.04,15608.92,1170.05,0.00
7.4382,27477.24,45362.12,268463.80,87159.07,110.00
7.9322,27667.62,141839.52,10614.12,23279.96,60.00
8.4262,27006.32,133898.07,1790.12,12665.91,0.00
8.9202,26635.60,118659.23,760.02,11024.48,10.00
9.4142,26946.20,119024.87,740.02,9603.40,0.00
9.9082,26435.21,129342.32,1090.04,10514.07,10.00
10.4022,26805.92,108047.39,1610.09,9883.60,0.00
10.8962,27016.34,121950.31,1580.09,12605.85,0.00
11.3902,27858.00,115104.24,7011.80,10524.08,0.00
11.8842,27186.67,80119.99,13156.34,6441.53,20.00
12.3782,26415.18,35846.61,16860.40,2860.30,0.00
12.8722,25864.14,15934.22,18192.11,2370.21,0.00
13.3662,27827.94,8114.89,28359.42,1980.14,10.00
13.8602,28539.39,78535.90,8712.78,18632.79,0.00
14.3542,26956.22,126339.63,6531.56,18482.58,0.00
14.8482,25924.25,55963.53,18362.34,4560.77,0.00
15.3422,26555.44,6213.90,22718.89,1230.06,0.00
15.8363,26856.02,2287.69,16630.12,1590.09,20.00
16.3303,26846.00,2375.20,23440.10,3250.39,0.00
16.8243,27256.80,2262.69,32739.21,1210.05,0.00
17.3183,28008.30,1962.64,32468.56,600.01,0.00
17.8123,27777.84,2787.78,32127.76,1480.08,30.00
18.3063,27086.47,1625.10,16349.78,660.02,0.00
18.8003,27357.00,1587.59,19744.27,1270.06,0.00
