D:\Data\McGill_4wk_ctl_femurhead.b\022SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 9:53:16 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5219,25373.23,137.50,530.01,360.00,0.00
1.0159,25343.18,137.50,220.00,640.02,0.00
1.5099,26254.87,575.01,6021.33,6791.70,0.00
2.0039,29000.34,1437.58,12065.33,4700.81,0.00
2.4979,29771.98,1537.59,11164.56,4130.63,0.00
2.9920,28850.03,1387.57,3860.55,2050.15,0.00
3.4860,25513.49,850.03,470.01,480.01,0.00
3.9800,25523.51,525.01,290.00,580.01,0.00
4.4740,24000.79,537.51,210.00,550.01,0.00
4.9680,25783.99,337.50,330.00,280.00,0.00
5.4620,24862.30,337.50,290.00,240.00,0.00
5.9560,24852.28,950.03,4910.88,2920.31,0.00
6.4500,27868.02,2000.15,25994.72,1420.07,0.00
6.9440,28278.85,1425.07,23640.45,1170.05,0.00
7.4380,28769.86,1462.58,19153.43,1020.04,0.00
7.9320,30513.59,1737.61,6051.34,1440.08,10.00
8.4260,33279.95,2062.65,1930.14,2020.15,0.00
8.9200,34071.87,24847.41,6031.33,20134.93,20.00
9.4140,32768.73,59114.16,3020.33,19283.69,10.00
9.9080,35314.98,118760.10,1700.11,9373.24,0.00
10.4020,32217.44,129569.44,1490.08,6181.41,0.00
10.8960,34372.62,127386.71,1960.14,16109.56,0.00
11.3900,29751.93,131689.42,1640.10,15598.96,80.00
11.8840,27036.37,138366.95,6211.41,18332.38,0.00
12.3780,28098.48,86986.48,24692.31,6741.67,10.00
12.8721,26735.79,8952.91,37020.12,1290.06,0.00
13.3661,26355.06,8790.31,37802.26,2500.23,0.00
13.8601,27026.35,28880.26,24071.20,5281.03,0.00
14.3541,27587.46,45851.24,37210.64,7111.86,0.00
14.8481,27417.12,61788.36,15448.74,13166.39,0.00
15.3421,27898.08,112470.10,7121.86,18722.91,20.00
15.8361,27938.16,116238.71,1620.10,22769.09,0.00
16.3301,30543.65,132837.87,1570.09,18262.28,0.00
16.8241,28148.59,114952.98,2240.18,14467.71,0.00
17.3181,27346.98,134289.36,13937.11,14217.44,110.00
17.8121,28920.18,100200.87,10704.19,15699.08,0.00
18.3061,27517.32,57996.93,10824.29,7872.28,0.00
18.8001,27286.86,18737.74,14397.59,3830.54,10.00
19.2941,26274.91,42089.25,11574.90,17270.99,0.00
19.7881,26916.14,120840.59,1470.08,19744.36,0.00
20.2821,26856.02,118255.78,9173.08,14537.78,0.00
20.7761,27617.52,61738.14,44181.37,3280.40,0.00
21.2701,29771.98,3750.51,94657.00,790.02,0.00
21.7641,27517.32,2362.70,67526.58,2750.28,0.00
22.2582,27988.26,50078.43,10614.12,4390.71,0.00
22.7522,29842.13,126453.16,4460.73,4740.83,0.00
23.2462,29942.34,111247.73,2320.20,13256.47,0.00
23.7402,29060.47,100062.37,1500.08,3230.38,0.00
