D:\Data\McGill_4wk_ctl_femurhead.b\076SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:49:30 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,25733.89,0.00,3050.34,1100.04,0.00
1.0160,26665.65,537.51,7452.03,2270.19,120.00
1.5100,26735.79,937.53,70009.04,73850.45,120.00
2.0040,28429.16,119592.25,24101.25,65146.03,130.00
2.4980,27387.06,95958.30,87912.13,73961.05,90.00
2.9920,26114.61,131487.50,5691.19,18712.90,0.00
3.4860,27777.84,129203.53,1670.10,9633.42,0.00
3.9801,26725.77,146664.69,1250.06,10624.16,20.00
4.4741,28048.38,143557.18,1150.05,11955.26,0.00
4.9681,26635.60,137293.78,810.02,9473.31,0.00
5.4621,26465.27,134920.49,630.01,7612.13,0.00
5.9561,27457.20,129935.37,3160.37,7912.31,0.00
6.4501,27156.61,118886.17,690.02,8462.64,20.00
6.9441,28338.97,126276.55,830.03,11244.66,20.00
7.4381,25884.17,133393.20,940.03,8482.65,20.00
7.9321,27417.12,143506.67,700.02,9393.25,20.00
8.4261,27447.18,140930.25,650.02,9613.40,10.00
8.9201,25383.25,127285.79,730.02,9413.26,20.00
9.4141,26004.40,136258.57,760.02,10323.93,10.00
9.9081,27086.47,122416.92,900.03,10063.73,20.00
10.4021,27777.84,131739.91,710.02,10744.25,10.00
10.8961,26745.81,126263.94,1080.04,11074.52,10.00
11.3901,26745.81,123224.08,860.03,12645.89,0.00
11.8841,26976.25,120701.88,3700.50,22168.10,0.00
12.3781,26695.71,129998.45,1830.12,23650.60,10.00
12.8721,26876.06,134794.25,15759.09,17731.58,20.00
13.3661,28619.55,45073.68,35415.87,3480.45,0.00
13.8602,28669.65,4288.17,50352.68,2300.19,10.00
14.3542,28248.79,2137.67,67747.67,2050.15,0.00
14.8482,27457.20,1412.57,86634.00,2400.21,0.00
15.3422,27898.08,1112.54,82961.29,980.04,0.00
15.8362,26615.56,1450.08,138892.92,1040.04,0.00
16.3302,26084.55,1050.04,79611.44,900.03,0.00
16.8242,25934.27,750.02,103097.80,540.01,0.00
17.3182,27627.54,1425.07,75729.45,1390.07,0.00
17.8122,26715.75,1575.09,32809.37,2330.20,0.00
18.3062,27036.37,1725.11,24882.65,1160.05,0.00
18.8002,27898.08,2737.77,26305.32,3890.56,30.00
19.2942,27607.50,74048.63,9022.98,13887.10,0.00
19.7882,28238.77,133822.34,1890.13,12856.09,0.00
20.2822,28218.73,108059.99,51587.28,15869.27,0.00
20.7762,28348.99,11317.15,27156.98,1940.14,10.00
21.2702,27086.47,3037.84,25343.50,1530.09,0.00
21.7642,27878.04,2650.26,32187.90,1420.07,0.00
22.2582,26785.89,2125.16,52018.91,1380.07,0.00
22.7522,26976.25,1487.58,67154.75,1270.06,0.00
23.2463,27968.22,2075.16,33681.49,2770.28,0.00
23.7403,27567.42,71950.05,21737.29,19674.26,0.00
24.2343,29220.81,126983.01,2160.17,18722.91,0.00
24.7283,27367.02,88181.54,19493.91,6941.78,0.00
25.2223,28128.54,67804.08,12475.70,6651.63,0.00
25.7163,28599.51,112129.84,4430.72,19694.28,0.00
26.2103,26976.25,134844.74,1890.13,13416.63,10.00
26.7043,27687.66,144567.68,740.02,20976.20,0.00
27.1983,27787.86,136245.94,760.02,13847.06,0.00
27.6923,26725.77,132093.26,2850.30,15048.34,10.00
28.1863,26996.29,130339.16,1590.09,22879.27,0.00
28.6803,28188.67,118142.31,3000.33,20174.99,0.00
29.1743,26775.87,88433.15,9493.30,20515.50,30.00
29.6683,27827.94,140122.06,2490.23,20255.11,10.00
30.1623,27537.36,134554.42,1650.10,21827.54,0.00
30.6563,28188.67,149886.61,1570.09,19183.55,0.00
31.1503,28278.85,123980.83,4770.83,18462.55,0.00
31.6443,28228.75,26250.00,24331.66,3480.45,0.00
32.1383,28409.12,3275.39,35415.87,1770.12,0.00
32.6324,24872.32,937.53,1270.06,540.01,0.00
33.1264,25242.99,1225.05,7672.16,1750.11,0.00
33.6204,27006.32,2800.28,39888.19,2080.16,10.00
34.1144,28268.83,26663.30,74703.82,9713.48,0.00
34.6084,29020.38,139654.85,5531.12,25103.20,0.00
35.1024,28318.93,123665.51,10904.35,26495.85,0.00
35.5964,30844.32,168107.77,10944.38,4930.90,0.00
36.0904,26685.69,32388.06,98534.30,2390.21,0.00
36.5844,30543.65,43280.44,11214.60,4550.76,0.00
37.0784,33600.72,8627.70,8582.70,750.02,0.00
37.5724,34122.00,5213.49,7602.12,1790.12,0.00
38.0664,34753.56,176056.21,1270.06,2410.21,10.00
38.5604,31195.10,114297.56,1070.04,2230.18,0.00
39.0544,33751.09,87753.83,1450.08,1950.14,0.00
39.5484,32939.14,66623.34,730.02,1850.13,0.00
40.0424,30283.08,143531.92,420.01,2380.21,0.00
40.5364,32057.07,136119.71,700.02,1760.11,0.00
41.0304,30633.85,62855.68,820.02,1300.06,0.00
41.5244,30704.01,107669.45,500.01,1460.08,40.00
42.0184,29110.57,33728.77,520.01,930.03,0.00
42.5124,30804.23,77203.40,570.01,2520.23,0.00
43.0065,32788.78,138278.56,600.01,3050.34,0.00
43.5005,31165.04,75707.62,780.02,2020.15,0.00
43.9945,29952.37,56942.53,610.01,1940.14,10.00
44.4885,30814.25,26713.39,610.01,1480.08,0.00
44.9825,29150.66,73885.26,840.03,3780.53,0.00
45.4765,32919.09,47143.09,710.02,2140.17,0.00
45.9705,28479.26,24384.08,680.02,2900.31,0.00
46.4645,31876.65,74237.14,2700.27,49600.50,40.00
46.9585,33079.47,33077.19,15448.74,11865.19,30.00
47.4525,32257.53,7702.15,10524.06,2430.22,10.00
47.9465,31776.43,1475.08,2870.30,980.04,10.00
48.4405,30122.73,937.53,3480.44,470.01,0.00
48.9345,25743.91,325.00,250.00,230.00,0.00
49.4285,25683.80,137.50,2140.17,500.01,0.00
49.9225,26505.35,1550.09,4140.63,1080.04,0.00
50.4165,29300.97,662.52,3740.51,720.02,0.00
50.9105,28449.20,775.02,6231.42,930.03,0.00
51.4045,29381.14,950.03,59951.34,26686.22,0.00
51.8985,30122.73,812.52,8302.52,1170.05,10.00
52.3925,28890.11,975.03,9773.50,1130.05,0.00
52.8865,30323.17,762.52,4930.89,860.03,0.00
53.3806,29040.43,1150.05,7702.17,1110.05,0.00
53.8746,26084.55,87.50,200.00,100.00,0.00


          Printed:4/29/2018 10:50:26 AM
