D:\Data\McGill_4wk_ctl_femurhead.b\020SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 9:51:12 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,24952.47,75.00,180.00,270.00,0.00
1.0160,25092.72,300.00,390.01,280.00,0.00
1.5100,24451.57,175.00,270.00,1770.12,0.00
2.0041,26194.76,900.03,7361.98,8392.60,0.00
2.4980,30002.47,1075.04,8262.50,4940.90,0.00
2.9921,30744.10,1312.56,8492.64,7412.02,20.00
3.4861,28178.65,737.52,2010.15,760.02,0.00
3.9801,24882.34,637.51,500.01,480.01,0.00
4.4741,25313.12,737.52,240.00,300.00,10.00
4.9681,25653.75,500.01,320.00,260.00,0.00
5.4621,24892.36,550.01,260.00,270.00,0.00
5.9561,25102.74,1725.11,3540.46,3020.34,0.00
6.4501,29782.00,2037.65,32067.61,2080.16,10.00
6.9441,31124.95,1662.60,28700.13,1090.04,0.00
7.4381,33259.90,12080.30,69928.63,51587.89,50.00
7.9321,32177.35,101019.32,20685.66,70653.50,30.00
8.4261,30774.16,104419.55,7291.95,11584.94,20.00
8.9201,28429.16,105943.63,5120.96,10383.97,0.00
9.4141,29541.48,125305.24,4140.63,12525.78,0.00
9.9081,30493.54,64324.95,3780.52,7502.07,10.00
10.4021,33269.93,118041.46,9263.14,8512.67,0.00
10.8961,36859.00,54557.91,3270.39,3570.47,10.00
11.3901,38653.88,39531.68,2500.23,6021.34,0.00
11.8841,36748.71,28354.17,4760.83,6851.73,20.00
12.3781,34252.32,118432.29,1170.05,9913.62,0.00
12.8722,34312.47,111877.80,1160.05,15799.19,0.00
13.3662,30273.06,140879.74,1410.07,15548.90,0.00
13.8602,30022.52,131765.14,1430.07,22548.72,20.00
14.3542,28920.18,116528.65,20675.64,12395.66,0.00
14.8482,27266.82,6976.77,31696.75,1280.06,0.00
15.3422,27777.84,6876.72,31937.31,6001.33,0.00
15.8362,30343.21,104104.68,8132.42,4410.72,10.00
16.3302,34192.17,123097.96,1870.13,3700.50,10.00
16.8242,31435.65,80082.27,4650.79,4320.69,0.00
17.3182,34372.62,80195.43,8042.37,11184.61,0.00
17.8122,30563.70,91100.46,21096.29,6701.65,0.00
18.3062,30463.48,100188.28,4660.80,9943.64,0.00
18.8002,31495.79,79478.79,22318.23,4790.85,0.00
19.2942,33761.11,107253.71,10403.96,3670.50,0.00
19.7882,32488.07,109483.67,5701.19,3800.53,0.00
20.2822,32909.06,80195.43,18132.03,3500.45,10.00
20.7762,31736.33,90949.47,7131.86,4250.67,0.00
21.2702,33650.85,78686.76,5010.92,4800.85,0.00
21.7642,32327.70,74840.40,3660.49,3680.50,0.00
22.2582,35425.26,36786.59,8462.62,2240.18,0.00
22.7523,36217.31,11780.04,5631.16,650.02,0.00
23.2463,34783.64,9916.07,5291.02,1710.11,0.00
23.7403,36167.18,65040.80,3360.41,1930.14,10.00
24.2343,32237.49,115167.26,930.03,2240.18,0.00
24.7283,31706.26,103084.55,12305.54,1740.11,0.00
25.2223,32006.96,82735.40,6141.38,1980.14,0.00
25.7163,31054.79,126112.56,880.03,960.03,0.00
26.2103,28429.16,58837.98,1040.04,1290.06,0.00
26.7043,31596.01,96839.44,640.02,1930.14,0.00
27.1983,30243.00,100477.88,940.03,1320.06,10.00
27.6923,30102.69,15683.93,1910.13,1070.04,0.00
28.1863,31365.49,80572.62,470.01,1890.13,0.00
28.6803,31255.24,85049.43,1270.06,1060.04,0.00
29.1743,29110.57,47506.84,940.03,1700.11,10.00
29.6683,31275.29,103903.16,580.01,1990.15,0.00
30.1623,29982.43,93554.34,500.01,1930.14,0.00
30.6563,30593.77,83313.86,590.01,1840.12,0.00
31.1503,31155.01,87439.34,660.02,990.04,0.00
31.6444,28028.34,30959.78,840.03,1350.07,0.00
32.1383,29581.57,112230.65,350.00,4070.61,10.00
32.6324,29571.55,113919.45,560.01,3450.44,0.00
33.1264,28579.47,87590.29,3700.50,2490.23,20.00
33.6204,29451.29,84911.08,610.01,3000.33,0.00
34.1144,29832.11,104192.84,940.03,2950.32,20.00
34.6084,31395.56,86822.95,1910.13,1240.06,0.00
35.1024,30243.00,76864.00,860.03,3850.55,0.00
35.5964,31215.15,108941.90,350.00,4010.59,0.00
36.0904,29331.04,114486.62,370.00,3850.55,0.00
36.5844,32397.86,112646.54,8612.72,4040.60,0.00
37.0784,31415.60,123741.19,950.03,7582.12,10.00
37.5724,30573.72,110504.27,2290.19,51166.30,70.00
38.0664,30373.28,41988.94,9783.50,17761.62,20.00
38.5604,30323.17,11730.00,21637.13,8482.65,30.00
39.0544,29932.32,8089.88,17260.90,3440.44,0.00
39.5484,30483.52,1375.07,11564.90,760.02,0.00
40.0424,29130.61,875.03,15638.95,760.02,0.00
40.5364,29862.17,800.02,3560.46,870.03,0.00
41.0304,28920.18,787.52,5461.09,1010.04,0.00
41.5244,27507.30,787.52,1680.10,1460.08,10.00
42.0184,27537.36,512.51,3460.44,3990.59,10.00
42.5125,28529.36,612.51,2600.25,3560.47,0.00
43.0065,26254.87,350.00,470.01,480.01,10.00
43.5005,24641.91,325.00,260.00,400.01,0.00
43.9945,24962.48,337.50,230.00,320.00,0.00
44.4885,24952.47,262.50,200.00,160.00,0.00
44.9825,24692.00,425.01,130.00,370.01,0.00
45.4765,24942.45,225.00,160.00,180.00,0.00
45.9705,24802.20,337.50,190.00,290.00,0.00
46.4645,25353.19,262.50,310.00,220.00,0.00
46.9585,24651.93,100.00,150.00,250.00,0.00
47.4525,25964.32,112.50,240.00,230.00,0.00
47.9465,25473.41,150.00,210.00,210.00,0.00
48.4405,24702.02,100.00,160.00,140.00,0.00
48.9345,24291.29,100.00,130.00,260.00,0.00
49.4285,25273.05,125.00,140.00,220.00,0.00
49.9225,24962.48,137.50,180.00,280.00,0.00
50.4165,25022.59,87.50,230.00,170.00,0.00
50.9105,25072.68,75.00,1250.06,20705.79,20.00
51.4045,24341.38,62.50,1140.05,230.00,0.00
51.8985,24571.78,62.50,260.00,500.01,0.00
52.3926,24231.19,50.00,180.00,160.00,0.00
52.8866,24511.68,62.50,740.02,340.00,0.00
53.3806,24541.73,75.00,230.00,80.00,0.00
53.8746,24541.73,62.50,160.00,80.00,0.00


          Printed:4/29/2018 9:52:09 AM
