D:\Data\McGill_4wk_ctl_femurhead.b\087SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 11:00:57 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24732.07,25.00,2100.16,3390.42,0.00
1.0161,25864.14,82094.07,980.04,5201.00,30.00
1.5101,25683.80,91427.62,2280.19,13146.37,20.00
2.0041,26986.27,68180.94,7732.19,20485.45,20.00
2.4981,26525.39,103953.54,960.03,14057.28,50.00
2.9921,26304.97,131815.62,1100.04,10524.08,0.00
3.4861,25393.27,122782.66,640.02,8462.64,20.00
3.9801,26835.98,133405.83,870.03,10764.27,0.00
4.4741,25763.95,134276.74,710.02,9503.33,0.00
4.9681,25673.78,125204.32,670.02,10143.79,0.00
5.4621,26575.48,88898.63,5431.08,9193.11,0.00
5.9561,27557.40,129708.24,690.02,11104.54,0.00
6.4501,26535.40,120159.67,9953.63,9723.48,0.00
6.9441,27056.41,102127.45,8512.65,8242.50,10.00
7.4381,26605.54,63860.29,13967.14,8292.53,0.00
7.9321,26445.23,100704.52,2190.18,13076.30,0.00
8.4261,25834.08,120903.64,770.02,13436.65,60.00
8.9202,26595.52,122089.03,780.02,12415.68,0.00
9.4142,26595.52,122606.09,750.02,14107.33,10.00
9.9082,25323.14,123022.28,990.04,16810.41,0.00
10.4022,26565.46,123476.32,850.03,14808.08,0.00
10.8962,26475.29,118432.29,950.03,18532.65,0.00
11.3902,27246.78,116881.62,790.02,11735.07,0.00
11.8842,26314.98,116818.59,1360.07,14127.35,0.00
12.3782,27517.32,113692.58,4230.66,11414.80,0.00
12.8722,26926.16,127033.47,1010.04,20896.08,10.00
13.3662,25483.43,122114.25,1810.12,16810.41,0.00
13.8602,25974.34,106812.81,14567.77,18913.17,10.00
14.3542,26084.55,107467.87,3170.37,19103.44,20.00
14.8482,25273.05,13769.38,30423.86,1440.08,0.00
15.3422,26765.85,3012.83,19654.14,900.03,0.00
15.8362,26625.58,2075.16,24501.96,1380.07,0.00
16.3302,26565.46,1987.64,25523.84,1390.07,0.00
16.8242,26916.14,2250.18,24642.22,1170.05,0.00
17.3182,26034.46,1937.64,16379.82,2210.18,20.00
17.8123,26535.40,51797.27,14087.26,12395.66,20.00
18.3062,27938.16,142155.25,1380.07,15749.14,10.00
18.8003,27186.67,119680.52,1080.04,15508.86,0.00
19.2943,27296.88,118495.33,800.02,22558.74,0.00
19.7883,27036.37,109886.86,2700.27,11775.11,10.00
20.2823,26525.39,125986.42,780.02,22789.12,10.00
20.7763,26725.77,115873.15,1230.06,17130.81,0.00
21.2703,26775.87,120449.69,1020.04,15799.19,0.00
21.7643,26144.66,121244.12,1090.04,19514.02,10.00
22.2583,26615.56,117701.06,2720.27,16259.74,10.00
