D:\Data\McGill_4wk_ctl_femurhead.b\102SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 11:16:35 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24541.73,0.00,2600.25,11104.54,0.00
1.0161,25944.29,71020.23,1960.14,10924.40,10.00
1.5101,25703.84,87602.87,2200.18,13847.06,0.00
2.0041,26996.29,105716.90,1000.04,20795.92,30.00
2.4981,27016.34,118407.08,640.02,11244.66,0.00
2.9921,26345.04,133216.51,800.02,10964.43,10.00
3.4861,26254.87,121862.04,800.02,16540.08,10.00
3.9801,27988.26,121685.48,570.01,10183.82,0.00
4.4741,25643.73,136132.33,870.03,12085.38,0.00
4.9681,27387.06,125393.53,740.02,15969.39,0.00
5.4621,27026.35,142306.80,550.01,15318.64,0.00
5.9561,26254.87,142635.17,1090.04,15438.78,0.00
6.4501,28008.30,122479.98,1170.05,16419.93,0.00
6.9441,26214.79,129506.35,1180.05,14978.26,0.00
7.4381,27126.55,124775.47,3400.42,13596.81,10.00
7.9321,26705.73,124813.31,1990.15,19053.37,0.00
8.4261,27717.72,114007.67,8262.50,13446.66,0.00
8.9201,26966.23,77479.95,8712.78,13696.91,0.00
9.4142,26825.96,101057.09,3610.48,20615.65,0.00
9.9081,27647.58,124371.83,1120.05,23870.98,0.00
10.4022,26395.14,112608.73,850.03,22017.85,0.00
10.8962,25904.21,123400.65,580.01,16610.16,0.00
11.3902,27336.96,111877.80,550.01,15068.36,0.00
11.8842,26365.08,128257.24,710.02,13746.96,0.00
12.3782,25844.10,118507.94,440.01,12145.43,0.00
12.8722,25904.21,122252.98,910.03,13636.85,0.00
13.3662,26976.25,121054.96,700.02,11124.56,0.00
13.8602,25794.01,130705.11,1140.05,10614.15,0.00
14.3542,26144.66,114612.66,1030.04,13076.30,0.00
14.8482,26224.81,117612.81,600.01,11755.09,0.00
15.3422,26585.50,134011.67,680.02,12075.37,0.00
15.8362,27797.88,120941.47,670.02,12125.42,0.00
16.3302,26224.81,107845.82,790.02,11114.55,0.00
16.8242,26846.00,98941.81,410.01,12796.03,0.00
17.3182,27477.24,125380.92,400.01,9823.56,0.00
17.8122,27036.37,123589.83,410.01,8142.44,0.00
18.3062,26234.83,120954.08,420.01,5791.24,0.00
18.8002,26284.93,115898.37,370.00,6991.80,0.00
19.2942,26966.23,148913.64,410.01,7512.08,0.00
19.7882,26745.81,129556.83,560.01,10373.96,0.00
20.2823,26775.87,123829.47,830.03,13266.48,0.00
20.7763,26926.16,122479.98,850.03,18292.32,0.00
21.2703,27056.41,111046.11,1010.04,31065.52,20.00
21.7643,26635.60,91578.62,51476.86,20014.75,50.00
22.2583,26585.50,2787.78,13526.70,1610.10,10.00
22.7523,26635.60,787.52,12956.14,800.02,0.00
23.2463,26815.94,562.51,9463.28,600.01,0.00
23.7403,27627.54,375.01,8942.93,440.01,0.00
24.2343,27176.65,325.00,8552.68,630.01,0.00
24.7283,27216.73,475.01,10223.83,630.01,0.00
25.2223,27216.73,500.01,7552.09,490.01,0.00
25.7163,27527.34,475.01,3940.57,510.01,0.00
26.2103,28038.36,437.51,6391.50,350.00,0.00
26.7043,26906.12,387.51,4970.90,610.01,0.00
27.1983,26856.02,137.50,4490.74,370.01,0.00
27.6923,26284.93,200.00,1490.08,180.00,0.00
28.1863,25553.56,137.50,290.00,290.00,0.00
28.6803,24932.43,25.00,230.00,200.00,0.00
29.1743,23990.77,62.50,210.00,520.01,0.00
29.6683,24822.23,125.00,300.00,210.00,0.00
30.1624,24581.80,75.00,90.00,260.00,0.00
30.6564,25463.39,50.00,300.00,310.00,0.00
31.1504,24261.24,50.00,190.00,200.00,0.00
31.6444,24621.87,1000.04,140.00,200.00,0.00
32.1384,25543.54,75.00,180.00,170.00,0.00
32.6324,24591.82,25.00,180.00,200.00,0.00
33.1264,24671.96,50.00,130.00,120.00,0.00
33.6204,24060.89,37.50,170.00,200.00,10.00
34.1144,24531.72,12.50,270.00,180.00,0.00
34.6084,25022.59,25.00,170.00,270.00,0.00
35.1024,25293.08,25.00,200.00,400.01,0.00
35.5964,24171.08,62.50,350.00,420.01,0.00
36.0904,24882.34,125.00,440.01,220.00,0.00
36.5844,24651.93,62.50,360.00,360.00,0.00
37.0784,24852.28,112.50,340.00,280.00,0.00
37.5724,24451.57,212.50,520.01,270.00,0.00
38.0664,24461.59,137.50,250.00,310.00,0.00
38.5604,24251.22,287.50,1280.06,500.01,0.00
39.0544,27868.02,550.01,5291.02,960.03,0.00
39.5485,30944.54,687.52,6011.32,840.03,0.00
40.0425,31555.92,637.51,6301.45,690.02,0.00
40.5365,27627.54,212.50,3980.58,780.02,20.00
41.0305,27056.41,200.00,2250.19,450.01,0.00
41.5245,25022.59,50.00,950.03,250.00,0.00
42.0185,25042.63,50.00,2370.21,450.01,0.00
42.5125,25984.36,337.50,3110.35,710.02,0.00
43.0065,28910.15,500.01,4340.69,1030.04,0.00
43.5005,28138.57,375.01,3890.55,620.01,0.00
43.9945,25814.04,312.50,3240.38,810.02,0.00
44.4885,29130.61,1000.04,5100.95,1140.05,0.00
44.9825,29070.49,212.50,1090.04,390.01,0.00
45.4765,25433.34,100.00,640.02,310.00,0.00
45.9705,25713.86,75.00,330.00,200.00,0.00
46.4645,25363.21,312.50,6521.56,1130.05,10.00
46.9585,30052.58,912.53,5771.22,890.03,0.00
47.4525,30974.61,1225.05,8732.79,1260.06,20.00
47.9465,28860.05,275.00,2500.23,370.01,0.00
48.4405,25383.25,775.02,4450.73,1090.04,30.00
48.9345,30363.26,1050.04,5150.97,1560.09,10.00
49.4285,30202.91,1087.54,4850.86,1540.09,0.00
49.9226,30794.21,787.52,5881.27,1130.05,10.00
50.4166,28038.36,1150.05,7021.81,1970.14,10.00
50.9106,30052.58,962.53,6341.47,1650.10,40.00
51.4046,29581.57,925.03,3310.40,440.01,10.00
51.8986,26896.10,462.51,4910.88,1210.05,10.00
52.3926,30794.21,1050.04,5921.28,1450.08,10.00
52.8866,30824.27,962.53,5050.93,1350.07,0.00
53.3806,30092.67,937.53,5441.08,1430.08,10.00
53.8746,27336.96,62.50,190.00,130.00,0.00


          Printed:4/29/2018 11:17:31 AM
