D:\Data\McGill_4wk_ctl_femurhead.b\034SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:05:46 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24261.24,0.00,2720.27,280.00,0.00
1.0161,24732.07,475.01,250.00,280.00,0.00
1.5101,25032.61,262.50,290.00,410.01,0.00
2.0041,24481.63,850.03,500.01,570.01,0.00
2.4981,23489.91,825.02,600.01,540.01,0.00
2.9921,24431.54,500.01,510.01,380.01,0.00
3.4861,24401.48,787.52,390.01,510.01,0.00
3.9801,24000.79,487.51,530.01,560.01,0.00
4.4741,26084.55,487.51,620.01,320.00,0.00
4.9681,24331.36,437.51,700.02,670.02,0.00
5.4621,25283.06,387.51,420.01,390.01,0.00
5.9561,24321.34,337.50,360.00,320.00,0.00
6.4501,24571.78,925.03,10033.69,3140.36,0.00
6.9441,26695.71,1250.06,10003.66,2280.19,0.00
7.4381,26224.81,712.52,16580.06,1570.09,0.00
7.9321,27266.82,1087.54,16139.53,1180.05,0.00
8.4261,27467.22,1000.04,30935.01,1110.05,0.00
8.9201,27346.98,1262.56,35786.84,2270.19,20.00
9.4142,26365.08,41462.35,152426.16,65467.57,130.00
9.9082,28539.39,139010.88,8302.52,16109.56,10.00
10.4022,27617.52,119844.44,2170.17,10524.08,10.00
10.8962,27467.22,129632.53,820.02,12215.50,10.00
11.3902,26024.44,136574.17,660.02,11254.67,0.00
11.8842,26365.08,128017.52,860.03,20595.62,20.00
12.3782,26204.78,138202.81,1360.07,22488.62,0.00
12.8722,27377.04,132800.02,790.02,13036.26,0.00
13.3662,28529.36,138303.81,800.02,16520.05,30.00
13.8602,27296.88,140488.26,7121.86,13166.39,0.00
14.3542,26896.10,24258.86,33210.34,2630.25,0.00
14.8482,27647.58,3725.50,20765.78,1330.07,0.00
15.3422,27637.56,2187.67,19083.33,1130.05,0.00
15.8362,27567.42,2025.15,52350.18,1300.06,0.00
16.3302,26976.25,2412.71,67184.90,1310.06,0.00
16.8242,27637.56,1787.62,43609.54,1240.06,0.00
17.3182,27096.49,1787.62,34413.32,940.03,0.00
17.8122,27517.32,1937.64,34493.52,1870.13,0.00
18.3062,26174.72,2087.66,37290.86,10263.88,0.00
18.8002,29110.57,110189.26,8052.37,20795.92,0.00
19.2943,27156.61,125280.01,6461.53,20916.11,0.00
19.7883,27447.18,55775.27,8342.55,1700.11,0.00
20.2823,24541.73,1350.07,800.02,470.01,0.00
20.7763,24431.54,825.02,460.01,360.00,0.00
21.2703,25693.82,687.52,380.01,380.01,0.00
21.7643,25313.12,675.02,210.00,260.00,60.00
22.2583,23850.53,850.03,410.01,260.00,0.00
22.7523,24141.03,375.01,410.01,250.00,0.00
23.2463,25613.67,2750.27,104659.62,1580.09,0.00
23.7403,28749.82,2350.20,72361.25,2350.20,20.00
24.2343,30182.86,2075.16,58967.06,1590.09,0.00
24.7283,26695.71,925.03,6461.53,460.01,0.00
25.2223,24852.28,687.52,670.02,240.00,0.00
25.7163,24030.84,287.50,3650.49,570.01,0.00
26.2103,25493.45,1837.62,30854.83,810.02,0.00
26.7043,27086.47,800.02,18162.07,680.02,0.00
27.1983,25844.10,1687.60,16670.17,3170.37,110.00
27.6923,30283.08,59428.00,23089.51,14027.25,0.00
28.1863,28509.32,144125.58,1400.07,6511.56,0.00
28.6803,30473.50,153905.59,3030.34,4300.68,0.00
29.1744,33811.24,11704.97,4970.90,820.02,0.00
29.6684,33801.21,63182.17,2150.17,2140.17,0.00
30.1624,31255.24,112344.08,1870.13,3050.34,0.00
30.6564,33360.14,128496.96,1740.11,1920.14,10.00
31.1504,31054.79,133973.81,970.03,1720.11,0.00
31.6444,32397.86,132295.19,1150.05,1300.06,0.00
32.1384,29892.24,100251.24,880.03,1800.12,0.00
32.6324,31435.65,101359.30,890.03,1400.07,0.00
33.1264,30714.03,73709.32,1510.08,1630.10,0.00
33.6204,31215.15,74664.44,440.01,920.03,0.00
34.1144,29210.78,52424.64,580.01,1370.07,0.00
34.6084,33831.29,124207.86,630.01,1900.13,0.00
35.1024,29601.61,88395.41,550.01,910.03,0.00
35.5964,27908.10,29544.17,490.01,1460.08,0.00
36.0904,30443.43,97985.01,700.02,1630.10,0.00
36.5844,28429.16,66836.87,680.02,2000.15,0.00
37.0784,30543.65,109647.46,430.01,1380.07,0.00
37.5724,26856.02,23269.65,610.01,1710.11,0.00
38.0664,28900.13,101384.49,500.01,1510.08,0.00
38.5604,30984.63,73282.05,640.02,670.02,0.00
39.0545,30112.71,20840.77,1030.04,1450.08,0.00
39.5485,30443.43,88848.32,540.01,2350.20,10.00
40.0425,31876.65,97456.27,690.02,900.03,10.00
40.5365,28860.05,48322.17,940.03,2950.32,330.00
41.0305,31004.68,59503.33,740.02,1010.04,0.00
41.5245,30593.77,83452.20,810.02,1490.08,10.00
42.0185,29381.14,56967.63,880.03,1450.08,0.00
42.5125,29661.74,58172.66,580.01,770.02,0.00
43.0065,29681.78,48108.92,600.01,1710.11,10.00
43.5005,31696.24,92434.31,880.03,2310.20,0.00
43.9945,29771.98,77039.98,1390.07,2400.21,0.00
44.4885,31786.45,133191.27,1200.05,4270.67,0.00
44.9825,31956.84,116453.02,830.03,6301.46,10.00
45.4765,30954.57,101006.73,640.02,10824.32,30.00
45.9705,31094.88,128295.10,1090.04,69618.16,90.00
46.4645,30533.63,83301.29,36408.48,29572.19,0.00
46.9585,30744.10,6939.25,5251.01,2980.33,0.00
47.4525,30353.24,1150.05,4710.81,4110.62,10.00
47.9465,28048.38,725.02,2720.27,1300.06,0.00
48.4405,25583.62,375.01,630.01,450.01,0.00
48.9346,25453.38,162.50,200.00,430.01,0.00
49.4286,24331.36,262.50,280.00,430.01,0.00
49.9226,24521.70,287.50,260.00,290.00,0.00
50.4166,24661.95,175.00,150.00,190.00,0.00
50.9106,24591.82,137.50,250.00,270.00,0.00
51.4046,23710.29,62.50,1240.06,190.00,0.00
51.8986,23770.39,12.50,340.00,200.00,0.00
52.3926,24381.45,112.50,790.02,120.00,0.00
52.8866,25122.77,62.50,770.02,150.00,0.00
53.3806,24631.89,62.50,860.03,120.00,0.00
53.8746,22798.76,50.00,190.00,150.00,0.00


          Printed:4/29/2018 10:06:43 AM
