D:\Data\McGill_4wk_ctl_femurhead.b\038SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:09:56 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,25092.72,12.50,1490.08,180.00,0.00
1.0161,24331.36,175.00,180.00,400.01,0.00
1.5101,25413.30,512.51,270.00,320.00,0.00
2.0041,23369.71,725.02,320.00,470.01,0.00
2.4981,24902.38,850.03,440.01,690.02,0.00
2.9921,24401.48,787.52,390.01,560.01,0.00
3.4861,24822.23,800.02,390.01,470.01,0.00
3.9801,23850.53,512.51,580.01,310.00,0.00
4.4741,24401.48,575.01,490.01,580.01,10.00
4.9681,24962.48,712.52,360.00,390.01,0.00
5.4621,24782.16,212.50,480.01,540.01,0.00
5.9561,24531.72,912.53,330.00,540.01,0.00
6.4501,24952.47,462.51,750.02,660.02,0.00
6.9441,25273.05,1100.04,14838.06,1960.14,0.00
7.4381,25934.27,600.01,9413.24,770.02,10.00
7.9321,26234.83,862.53,10413.97,990.04,0.00
8.4261,26595.52,950.03,20124.82,980.04,0.00
8.9202,27447.18,1100.04,21927.59,790.02,0.00
9.4142,27206.71,57683.11,155278.03,64904.88,90.00
9.9082,28619.55,143531.92,6451.52,29532.11,20.00
10.4022,28579.47,152932.34,2030.15,17070.73,0.00
10.8962,27647.58,144845.57,1280.06,18142.12,0.00
11.3902,27787.86,148938.91,1310.06,15849.25,0.00
11.8842,27537.36,138682.60,1440.08,14828.10,0.00
12.3782,27387.06,127172.24,1100.04,14437.68,0.00
12.8722,27246.78,120865.81,1130.05,19013.31,10.00
13.3662,26745.81,147864.92,1780.12,14537.78,10.00
13.8602,27577.44,111008.30,18312.27,12395.66,0.00
14.3542,27968.22,9465.75,25684.14,2860.30,0.00
14.8482,27517.32,2862.80,25614.00,1920.14,0.00
15.3422,27026.35,1975.14,19213.51,1960.14,0.00
15.8362,26284.93,2337.70,23930.95,1300.06,0.00
16.3302,27357.00,2762.78,31315.87,1060.04,0.00
16.8242,26946.20,2212.68,22258.13,1920.14,0.00
17.3182,26335.02,12393.08,20064.73,5731.21,10.00
17.8123,27988.26,73256.91,7171.88,25734.38,10.00
18.3062,27607.50,140854.48,1750.11,26395.65,0.00
18.8003,27757.80,113100.23,11354.72,15809.21,0.00
19.2943,27206.71,105452.38,6281.44,25744.40,0.00
19.7883,27256.80,144946.63,1820.12,17421.18,0.00
20.2823,26856.02,139781.12,2720.27,21867.61,0.00
20.7763,27837.96,107896.21,7852.26,12385.65,0.00
21.2703,27577.44,13143.77,12535.75,1000.04,0.00
21.7643,23770.39,1662.60,750.02,430.01,0.00
22.2583,23489.91,975.03,540.01,600.01,0.00
22.7523,24581.80,537.51,690.02,180.00,0.00
23.2463,24581.80,350.00,440.01,400.01,0.00
23.7403,24561.77,887.53,790.02,380.01,0.00
24.2343,24541.73,600.01,400.01,240.00,0.00
24.7283,24732.07,987.54,20685.66,750.02,0.00
25.2223,27206.71,2650.26,91113.02,1200.05,0.00
25.7163,27777.84,3600.47,42084.76,2780.28,0.00
26.2103,29010.36,36097.27,35606.37,7271.95,10.00
26.7043,26565.46,15721.47,114175.43,3910.56,0.00
27.1983,27136.57,69123.12,40971.38,12225.51,10.00
27.6923,29220.81,115772.30,3870.55,12976.20,0.00
28.1863,28990.32,146677.32,1580.09,19233.62,0.00
28.6804,28288.87,112722.15,1350.07,14758.02,0.00
29.1744,32307.65,76838.86,2730.27,2020.15,0.00
29.6684,35816.27,12593.26,5571.14,670.02,0.00
30.1624,35294.93,4263.16,3910.56,750.02,10.00
30.6564,34422.74,34731.26,5231.00,1450.08,10.00
31.1504,34081.90,93315.22,6391.50,1920.14,0.00
31.6444,29371.12,60934.57,5170.98,1850.13,0.00
32.1384,30814.25,100880.81,1440.08,1310.06,0.00
32.6324,30623.83,11592.38,660.02,590.01,0.00
33.1264,29150.66,31222.87,3520.45,930.03,0.00
33.6204,29872.19,74614.17,1330.06,2040.15,0.00
34.1144,30603.79,51483.59,3240.38,1020.04,0.00
34.6084,30583.74,52386.99,1550.09,1330.07,0.00
35.1024,29651.72,45663.11,760.02,1120.05,0.00
35.5964,30102.69,99470.60,600.01,2200.18,0.00
36.0904,30082.65,82056.34,350.00,2080.16,0.00
36.5844,29491.38,57959.27,580.01,850.03,0.00
37.0784,29711.85,42252.25,570.01,930.03,0.00
37.5724,30283.08,37150.06,750.02,1030.04,0.00
38.0664,29210.78,49865.16,670.02,1020.04,0.00
38.5605,27417.12,41136.37,570.01,770.02,0.00
39.0545,29030.40,42891.72,640.02,800.02,0.00
39.5485,28499.30,39569.29,520.01,1060.04,0.00
40.0425,28669.65,11942.68,720.02,630.01,0.00
40.5365,28840.01,43167.58,460.01,1340.07,0.00
41.0305,30623.83,45612.95,980.04,1200.05,0.00
41.5245,29771.98,55448.95,660.02,1130.05,0.00
42.0185,31716.29,113906.84,440.01,1960.14,0.00
42.5125,30202.91,83276.14,640.02,1440.08,0.00
43.0065,29250.87,61926.48,840.03,1810.12,0.00
43.5005,32838.90,114398.39,870.03,1620.10,0.00
43.9945,29621.65,41938.79,1000.04,1050.04,0.00
44.4885,29471.34,54934.39,860.03,2060.16,10.00
44.9825,31926.77,124636.71,990.04,2060.16,0.00
45.4765,29852.15,78510.76,1250.06,2800.29,20.00
45.9705,29611.63,97380.73,2040.15,5551.14,0.00
46.4645,29331.04,72766.82,1830.12,11334.73,30.00
46.9585,31345.44,100805.26,12255.50,77219.12,150.00
47.4525,30633.85,38416.03,25213.26,9493.32,20.00
47.9465,30643.88,2137.67,3370.42,2160.17,10.00
48.4406,31425.63,1300.06,6011.32,3440.44,10.00
48.9346,26956.22,525.01,660.02,490.01,0.00
49.4286,24762.12,150.00,190.00,430.01,0.00
