D:\Data\McGill_4wk_ctl_femurhead.b\026SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 9:57:26 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24762.12,0.00,680.02,310.00,0.00
1.0161,24772.14,775.02,4550.76,5991.32,0.00
1.5101,27567.42,912.53,6241.43,3650.49,0.00
2.0041,25623.69,1812.62,1000.04,690.02,0.00
2.4981,24631.89,1237.56,690.02,530.01,0.00
2.9921,25002.56,2237.68,680.02,560.01,0.00
3.4861,24722.05,550.01,600.01,410.01,0.00
3.9801,24932.43,1287.56,580.01,440.01,0.00
4.4741,23810.46,750.02,400.01,490.01,0.00
4.9681,24581.80,262.50,350.00,430.01,0.00
5.4621,25212.94,562.51,410.01,340.00,0.00
5.9561,24351.40,350.00,490.01,580.01,0.00
6.4501,25353.19,675.02,4820.85,1940.14,0.00
6.9441,26946.20,1450.08,10403.96,1600.09,10.00
7.4381,28068.42,1675.10,12415.64,2320.20,140.00
7.9322,28338.97,39306.04,99360.25,91235.74,190.00
8.4262,27296.88,113238.87,11614.94,36308.52,70.00
8.9202,27116.53,136132.33,2210.18,17641.46,0.00
9.4142,30924.50,130503.20,1240.06,13486.70,10.00
9.9082,27447.18,125444.00,1070.04,20455.41,0.00
10.4022,28429.16,85074.58,1550.09,5491.11,20.00
10.8962,26635.60,98387.86,1140.05,15919.33,0.00
11.3902,27206.71,120134.44,1920.14,19003.30,0.00
11.8842,26996.29,112923.79,1690.10,16560.10,0.00
12.3782,27417.12,120588.39,1170.05,18973.26,0.00
12.8722,27547.38,129783.95,1000.04,22238.21,0.00
13.3662,26675.68,109370.27,1390.07,14868.14,0.00
13.8602,27086.47,119983.13,930.03,13186.40,0.00
14.3542,27286.86,111839.99,910.03,23420.20,0.00
14.8482,27326.94,108538.72,1630.10,17601.41,0.00
15.3422,26495.33,45161.46,55080.88,4320.69,10.00
15.8362,28018.32,6001.31,52560.98,2940.32,20.00
16.3302,26805.92,4000.58,30163.28,1520.09,0.00
16.8242,26615.56,1875.13,26605.90,1270.06,0.00
17.3182,28208.71,1487.58,31215.64,1930.14,0.00
17.8123,27116.53,2562.74,20525.42,1870.13,0.00
18.3063,27407.10,23382.34,14597.80,9953.65,10.00
18.8003,28459.22,111587.97,2080.16,13276.49,10.00
19.2943,27817.92,110101.06,1810.12,14687.95,10.00
19.7883,29310.99,122694.38,1790.12,14167.39,0.00
20.2823,27066.43,108299.36,6461.53,18412.49,10.00
20.7763,27336.96,85464.49,40279.33,7091.85,0.00
21.2703,28389.08,4650.79,42124.89,1720.11,0.00
21.7643,26294.95,2625.25,49258.71,1690.11,0.00
22.2583,29300.97,3087.85,44833.49,2030.15,0.00
22.7523,28819.97,3150.36,55030.68,1120.05,0.00
23.2463,30102.69,3475.44,43739.96,1370.07,0.00
23.7403,28399.10,4413.21,52069.10,9873.59,0.00
24.2343,29451.29,89590.60,18702.80,22438.54,0.00
24.7283,30022.52,106737.22,6991.79,19243.64,0.00
25.2223,28539.39,107745.02,41523.05,4290.68,0.00
25.7163,29551.51,87628.03,17821.62,7241.93,0.00
26.2103,33370.17,125267.40,3080.35,4540.76,0.00
26.7043,33610.75,29581.75,3720.51,1360.07,0.00
27.1983,34763.59,26262.53,3350.41,1490.08,0.00
27.6924,33861.36,77831.92,1560.09,2200.18,0.00
