D:\Data\McGill_4wk_ctl_femurhead.b\064SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:37:00 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5221,24902.38,12.50,2010.15,840.03,0.00
1.0161,25102.74,475.01,340.00,530.01,0.00
1.5101,25042.63,850.03,830.03,1000.04,0.00
2.0041,24261.24,1812.62,660.02,740.02,0.00
2.4981,24962.48,1487.58,710.02,780.02,0.00
2.9921,25633.71,1462.58,710.02,800.02,10.00
3.4861,25122.77,950.03,480.01,660.02,0.00
3.9801,24561.77,1387.57,4680.80,2190.18,10.00
4.4741,25733.89,1662.60,7802.23,1960.14,0.00
4.9681,27056.41,1712.61,12785.98,1480.08,10.00
5.4621,26916.14,44434.10,327849.72,81212.34,120.00
5.9561,26996.29,93164.20,72381.36,81403.48,150.00
6.4501,27527.34,138606.84,5020.92,20956.17,60.00
6.9441,27076.45,138442.69,1740.11,14217.44,10.00
7.4381,26585.50,123879.92,840.03,15038.33,20.00
7.9321,28308.91,146171.99,880.03,11124.56,0.00
8.4261,26695.71,134352.47,800.02,12075.37,0.00
8.9202,25773.97,127399.33,620.01,11775.11,0.00
9.4142,26164.70,132131.12,1050.04,12535.79,0.00
9.9082,26084.55,109105.68,710.02,15769.16,0.00
10.4022,25393.27,119831.83,700.02,16039.47,10.00
10.8962,25633.71,121508.94,700.02,10574.12,0.00
11.3902,25413.30,126743.31,530.01,12515.77,0.00
11.8842,26244.85,114726.10,810.02,13586.80,0.00
12.3782,26335.02,104784.80,2030.15,20906.09,0.00
12.8722,27146.59,130377.02,13626.80,17401.15,0.00
13.3662,26335.02,119213.99,710.02,14507.75,0.00
13.8602,26936.18,124876.37,600.01,16960.59,0.00
14.3542,26294.95,126200.86,1700.11,22859.24,0.00
14.8482,25433.34,114889.97,1130.05,17100.77,0.00
15.3422,26465.27,117070.72,9983.65,19183.55,0.00
15.8362,27807.90,57796.08,16540.01,2730.27,10.00
16.3302,26425.19,3938.06,35225.39,2540.24,0.00
16.8242,26785.89,1537.59,29161.11,1050.04,0.00
17.3182,26204.78,2025.15,26635.96,1190.05,0.00
17.8123,26294.95,2050.15,36458.61,1480.08,0.00
18.3062,29030.40,11129.50,31125.44,7402.02,20.00
18.8003,27346.98,105905.84,3240.38,15979.40,0.00
19.2943,26074.53,120361.42,1350.07,18242.26,0.00
19.7883,26615.56,109105.68,10704.19,10063.73,0.00
20.2823,25954.30,4413.21,21807.40,1190.05,0.00
20.7763,27086.47,2175.17,28359.42,850.03,0.00
21.2703,26916.14,1987.64,47984.17,1050.04,0.00
21.7643,27026.35,1937.64,32769.28,1520.09,0.00
22.2583,26695.71,23282.17,13776.95,9243.15,0.00
22.7523,27567.42,127058.69,2580.24,25724.36,0.00
23.2463,27266.82,137268.52,2110.16,23269.94,0.00
23.7403,26755.83,119138.34,4870.87,18993.28,0.00
24.2343,26896.10,110390.87,19313.65,11544.91,0.00
24.7283,27577.44,50153.70,20605.54,9453.29,0.00
25.2223,27918.12,72993.02,17310.97,12715.96,0.00
25.7163,27607.50,73583.65,16289.71,10133.78,0.00
26.2103,26234.83,76046.98,12265.51,19473.97,0.00
26.7043,27407.10,127601.19,2140.17,19704.30,0.00
27.1983,28419.14,115936.18,1230.06,11855.18,0.00
27.6923,30443.43,129594.68,800.02,4200.65,0.00
28.1863,30633.85,117751.49,860.03,6311.47,0.00
28.6804,28218.73,112482.71,3330.41,22588.79,0.00
29.1744,26906.12,25448.50,21967.66,1950.14,0.00
29.6684,27497.28,3487.94,21186.43,1640.10,0.00
30.1624,27507.30,2150.17,21757.32,1180.05,0.00
30.6564,27487.26,2137.67,39607.37,2120.17,0.00
31.1504,27056.41,3200.37,26976.63,1610.10,0.00
31.6444,27757.80,2212.68,43338.68,1900.13,0.00
32.1384,27888.06,54256.72,32508.66,23820.89,0.00
32.6324,27166.63,95240.84,17330.99,8122.43,0.00
33.1264,27256.80,20915.88,21697.23,1360.07,0.00
33.6204,26725.77,6376.48,19894.48,1620.10,0.00
34.1144,26805.92,10166.25,54267.64,2760.28,0.00
34.6084,31555.92,34355.32,18262.21,10454.03,10.00
35.1024,34001.70,122681.77,3210.38,14057.28,0.00
35.5964,31195.10,20202.31,5030.93,1410.07,0.00
36.0904,32768.73,11980.21,4780.84,1090.04,0.00
36.5844,34633.26,5038.42,2020.15,440.01,0.00
37.0784,35665.88,62290.62,1670.10,2150.17,0.00
37.5724,31515.83,124851.14,3300.40,2070.16,0.00
38.0664,30974.61,81125.86,3270.39,2140.17,0.00
38.5605,31666.17,123589.83,1340.07,1930.14,0.00
39.0545,31946.82,125242.18,570.01,1360.07,0.00
39.5485,30323.17,105112.29,1200.05,2080.16,0.00
40.0425,30303.13,141536.43,620.01,2100.16,0.00
40.5365,26725.77,21667.04,860.03,570.01,20.00
41.0305,30092.67,10266.33,720.02,650.02,0.00
41.5245,28900.13,42239.71,910.03,1660.10,0.00
42.0185,31445.67,115961.39,670.02,1700.11,10.00
