D:\Data\McGill_4wk_ctl_femurhead.b\071SMPL.d
Intensity Vs Time,CPS
Acquired      : 4/29/2018 10:44:17 AM using Batch McGill_4wk_ctl_femurhead.b
Time [Sec],S34,Ca43,Fe56,Zn66,W182
0.5220,23560.03,0.00,4500.74,1100.04,20.00
1.0160,25082.70,825.02,610.01,840.03,0.00
1.5101,24942.45,1012.54,910.03,870.03,0.00
2.0041,24581.80,1375.07,2230.18,2380.21,0.00
2.4981,26635.60,1875.13,9843.55,2980.33,0.00
2.9921,27236.76,2262.69,17751.53,2840.30,0.00
3.4861,26645.61,15796.56,494174.64,70100.64,200.00
3.9801,28389.08,89842.23,156016.37,124872.03,140.00
4.4741,27326.94,116717.74,6791.69,27698.24,40.00
4.9681,27106.51,125734.12,2390.21,13666.88,20.00
5.4621,26244.85,115368.95,1250.06,12435.70,20.00
5.9561,26835.98,119138.34,3550.46,16129.58,0.00
6.4501,27767.82,116881.62,890.03,12215.50,10.00
6.9441,26715.75,115570.62,530.01,10424.00,10.00
7.4381,26735.79,125254.78,620.01,12515.77,160.00
7.9321,27577.44,101334.12,830.03,15849.25,0.00
8.4261,26254.87,109118.29,610.01,11094.53,0.00
8.9201,26815.94,110101.06,650.02,8532.68,0.00
9.4141,26495.33,122543.03,1710.11,9623.41,0.00
9.9081,26695.71,132572.83,1690.10,10804.30,0.00
10.4022,27377.04,122833.11,550.01,12595.84,0.00
10.8961,26795.91,118470.12,400.01,12145.43,0.00
11.3902,27407.10,123425.88,730.02,11735.07,0.00
11.8842,26635.60,111474.55,750.02,10003.69,0.00
12.3782,26825.96,111474.55,990.04,20255.11,0.00
12.8722,26365.08,115999.21,1650.10,16630.19,0.00
13.3662,27387.06,124661.94,1150.05,16229.70,0.00
13.8602,25934.27,114814.33,1200.05,15528.88,30.00
14.3542,26254.87,113919.45,2990.33,22829.19,20.00
14.8482,26505.35,134365.09,1540.09,22939.37,10.00
15.3422,26264.89,129834.41,1230.06,24211.58,10.00
15.8362,27637.56,130250.83,1300.06,24902.83,10.00
16.3302,27737.76,74287.42,24421.82,2540.24,0.00
16.8242,25894.19,2687.76,24932.74,1460.08,0.00
17.3182,26204.78,1987.64,41372.59,1130.05,0.00
17.8122,27527.34,2075.16,24692.31,1900.13,0.00
18.3062,27226.75,1687.60,25834.42,960.03,0.00
18.8002,26936.18,1662.60,21396.76,980.04,0.00
19.2942,27387.06,1937.64,44733.16,1440.08,0.00
19.7882,27357.00,12730.88,28800.34,3550.46,0.00
20.2822,27847.98,113188.45,4870.87,19934.63,0.00
20.7762,27627.54,124321.38,1650.10,18312.35,20.00
21.2703,26745.81,130490.58,1670.10,30023.18,0.00
21.7643,25633.71,69864.34,17661.42,4560.77,0.00
22.2583,27928.14,4038.09,21927.59,1590.09,0.00
22.7523,26846.00,2450.22,16850.39,760.02,0.00
23.2463,25934.27,1687.60,16249.66,980.04,0.00
23.7403,26926.16,1750.11,18041.91,1380.07,0.00
24.2343,27597.48,2275.19,33400.81,1240.06,0.00
24.7283,26815.94,2475.22,32328.23,1490.08,0.00
25.2223,27266.82,2050.15,40028.60,1310.06,0.00
25.7163,27537.36,1800.12,16189.59,1460.08,0.00
26.2103,26906.12,1950.14,13096.28,3330.41,0.00
26.7043,27807.90,104734.43,7361.98,24662.39,0.00
27.1983,26705.73,138758.35,1390.07,21036.30,0.00
27.6923,26675.68,135109.83,1540.09,25874.65,0.00
28.1863,26835.98,128711.45,9153.07,25353.67,0.00
28.6803,27888.06,48259.45,17751.53,4370.70,0.00
29.1743,28078.44,11154.52,16900.45,2310.20,0.00
29.6683,27196.69,13218.84,18742.86,4000.59,0.00
30.1623,28208.71,40158.49,17601.34,5541.13,10.00
30.6563,27627.54,131929.20,5441.08,26155.19,0.00
31.1504,27357.00,153981.44,2680.26,22017.85,0.00
31.6444,29200.76,163768.42,1190.05,6391.51,0.00
32.1384,28078.44,131954.43,3890.55,18943.22,0.00
32.6324,27286.86,141018.64,1410.07,16720.30,10.00
33.1264,27096.49,138707.84,1330.06,17170.86,0.00
33.6204,27126.55,132484.50,1650.10,100450.50,0.00
34.1144,26856.02,131209.88,17811.61,15839.24,0.00
34.6084,27477.24,101711.89,20996.13,15558.92,10.00
35.1024,27837.96,129392.80,3080.35,27227.29,0.00
35.5964,28338.97,122341.26,1850.13,9553.36,0.00
36.0904,30974.61,147094.23,870.03,4800.85,0.00
36.5844,31686.22,105893.24,2620.25,1750.11,0.00
37.0784,34944.04,6076.34,4880.87,370.01,0.00
37.5724,36969.29,16635.05,2800.29,1270.06,0.00
38.0664,33921.51,163566.04,970.03,2150.17,0.00
38.5604,31726.31,142079.47,930.03,2010.15,0.00
39.0544,31606.04,130717.72,490.01,2500.23,0.00
39.5484,28699.72,19163.33,480.01,560.01,0.00
40.0424,31335.42,70228.69,650.02,2030.15,0.00
40.5364,30152.80,157243.00,680.02,2440.22,10.00
41.0305,30222.95,87338.70,810.02,2140.17,0.00
41.5245,32327.70,131613.70,590.01,2620.25,0.00
42.0185,30012.49,56063.94,530.01,560.01,0.00
42.5125,30513.59,6514.04,990.04,810.02,30.00
43.0065,30122.73,73181.51,590.01,2630.25,10.00
43.5005,32458.00,43782.02,960.03,720.02,0.00
43.9945,30483.52,28642.27,540.01,1640.10,0.00
44.4885,31024.72,100238.64,1740.11,3170.37,0.00
44.9825,32838.90,131537.98,730.02,3170.37,0.00
45.4765,30854.34,36949.52,720.02,1600.09,0.00
45.9705,29050.45,23169.48,740.02,2200.18,0.00
46.4645,28459.22,60595.58,570.01,12695.94,10.00
46.9585,34132.02,147536.43,2370.21,66030.29,110.00
47.4525,33340.09,129947.99,4010.59,72905.36,120.00
47.9465,32989.26,79541.65,42867.19,40008.90,60.00
48.4405,31636.10,10153.74,9313.17,2380.21,0.00
48.9345,30383.30,1425.07,5631.16,760.02,10.00
49.4285,28359.01,600.01,1010.04,510.01,0.00
